=== 40-50级装备列表 ===

【武器】(共130件)
编号	门派	品质	类型	名称	等级
10521034	1	绿	21	八卦腰带	50
10515034	1	绿	护肩	八卦棉麻肩	50
10511034	1	绿	衣服	八卦棉麻鞋	50
10513034	1	绿	鞋子	八卦棉麻衣	50

套装编号: 51 - 摄魂 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10520043	1	绿	20	摄魂之影	40
10523043	1	绿	23	摄魂护符	40
10510043	1	绿	帽子	摄魂宿夜帽	40

套装编号: 52 - 控鹤 (4件套) [4件]
编号	门派	品质	类型	名称	等级
10521044	1	绿	21	控鹤腰带	50
10515044	1	绿	护肩	控鹤光秀肩	50
10511044	1	绿	衣服	控鹤光秀鞋	50
10513044	1	绿	鞋子	控鹤光秀袍	50

套装编号: 63 - 缠魂 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10522053	1	绿	22	缠魂指环	40
10510053	1	绿	帽子	缠魂玄明帽	40
10512053	1	绿	护手	缠魂玄明手	40

套装编号: 64 - 锁魂 (4件套) [3件]
编号	门派	品质	类型	名称	等级
10520054	1	绿	20	锁魂之髓	50
10523054	1	绿	23	锁魂之华	50
10513054	1	绿	鞋子	锁魂逆风衣	50

套装编号: 75 - 真水 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10522063	1	绿	22	真水指环	40
10512063	1	绿	护手	真水秦瑶手	40
10514063	1	绿	护腕	真水秦瑶腕	40

套装编号: 76 - 八荒 (4件套) [4件]
编号	门派	品质	类型	名称	等级
10521064	1	绿	21	八荒腰带	50
10515064	1	绿	护肩	八荒断云肩	50
10511064	1	绿	衣服	八荒断云鞋	50
10513064	1	绿	鞋子	八荒断云皮甲	50

套装编号: 87 - 折梅 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10520073	1	绿	20	折梅之慑	40
10523073	1	绿	23	折梅护符	40
10510073	1	绿	帽子	折梅云龙首	40

套装编号: 88 - 纯阳 (4件套) [4件]
编号	门派	品质	类型	名称	等级
10521074	1	绿	21	纯阳腰带	50
10515074	1	绿	护肩	纯阳散雪肩	50
10511074	1	绿	衣服	纯阳散雪鞋	50
10513074	1	绿	鞋子	纯阳散雪的护佑	50

套装编号: 99 - 少商 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10522083	1	绿	22	少商指环	40
10510083	1	绿	帽子	少商暮落首	40
10512083	1	绿	护手	少商幕落手	40

套装编号: 100 - 少阳 (4件套) [3件]
编号	门派	品质	类型	名称	等级
10520084	1	绿	20	少阳之涯	50
10523084	1	绿	23	少阳护符	50
10513084	1	绿	鞋子	少阳月息之魂	50

套装编号: 111 - 御赐黄金套 (5件套) [5件]
编号	门派	品质	类型	名称	等级
10421003	1	橙	21	御赐黄金带	40
10412003	1	橙	护手	御赐黄金手甲	40
10414020	1	橙	护腕	御赐黄金腕甲	40
10411003	1	橙	衣服	御赐黄金战靴	40
10413003	1	橙	鞋子	御赐黄金甲	40

套装编号: 112 - 御赐混沌套 (5件套) [5件]
编号	门派	品质	类型	名称	等级
10421004	1	橙	21	御赐混沌护腰	50
10412004	1	橙	护手	御赐混沌护手	50
10414021	1	橙	护腕	御赐混沌护腕	50
10411004	1	橙	衣服	御赐混沌护胫	50
10413004	1	橙	鞋子	御赐混沌护胸	50

套装编号: 117 - 御赐蜀锦套 (5件套) [5件]
编号	门派	品质	类型	名称	等级
10421009	1	橙	21	御赐蜀锦带	40
10412009	1	橙	护手	御赐蜀锦手套	40
10414024	1	橙	护腕	御赐蜀锦护腕	40
10411009	1	橙	衣服	御赐蜀锦长靴	40
10413009	1	橙	鞋子	御赐蜀锦袍	40

套装编号: 118 - 御赐玄冥套 (5件套) [5件]
编号	门派	品质	类型	名称	等级
10421010	1	橙	21	御赐玄冥腰带	50
10412010	1	橙	护手	御赐玄冥裹手	50
10414025	1	橙	护腕	御赐玄冥护腕	50
10411010	1	橙	衣服	御赐玄冥朝靴	50
10413010	1	橙	鞋子	御赐玄冥仙衣	50

套装编号: 126 - 燕侯 (5件套) [4件]
编号	门派	品质	类型	名称	等级
10420004	1	橙	20	燕侯华链	50
10422013	1	橙	22	燕侯权戒	50
10423021	1	橙	23	燕侯圣符	50
10410001	1	橙	帽子	燕侯尊冠	50




套装编号: 196 - 远岚 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10520120	1	绿	20	远岚护链	40
10523119	1	绿	23	远岚护符	40
10510119	1	绿	帽子	远岚丝帽	40

套装编号: 197 - 云颂 (4件套) [4件]
编号	门派	品质	类型	名称	等级
10521120	1	绿	21	云颂腰带	50
10515120	1	绿	护肩	云颂护肩	50
10511120	1	绿	衣服	云颂皮靴	50
10513119	1	绿	鞋子	云颂皮甲	50

套装编号: 209 - 盘根 (3件套) [3件]
编号	门派	品质	类型	名称	等级
10520125	1	绿	20	盘根护链	40
10523124	1	绿	23	盘根护符	40
10510123	1	绿	帽子	盘根头巾	40

套装编号: 210 - 垂藤 (4件套) [4件]
编号	门派	品质	类型	名称	等级
10521124	1	绿	21	垂藤腰带	50
10515124	1	绿	护肩	垂藤护肩	50
10511125	1	绿	衣服	垂藤皮靴	50
10513123	1	绿	鞋子	垂藤皮甲	50

套装编号: 238 - 重楼天佑 (2件套) [2件]
编号	门派	品质	类型	名称	等级
10415055	1	橙	护肩	重楼肩	50
10413102	1	橙	鞋子	重楼甲	50

【散装装备 - 无套装编号】(共168件)
编号	门派	品质	类型	名称	等级
10423010	1	橙	23	因陀罗神像	40
10423009	1	橙	23	塞特神像	40
10422005	1	橙	22	快刀	40
10423008	1	橙	23	提尔神像	40
10410102	1	橙	帽子	欢乐圣诞帽	40
10422004	1	橙	22	没本钱	40
10415004	1	橙	护肩	浴血龙鳞肩铠	40
10422006	1	橙	22	湘东王	40
10415007	1	橙	护肩	焚天凤羽肩饰	40
10415005	1	橙	护肩	狂风烈火肩甲	40
10413096	1	橙	鞋子	璀璨之衣	40
10415006	1	橙	护肩	百战金尘肩垫	40
10423011	1	橙	23	阿瑞斯神像	40
10210049	1	蓝	帽子	儒玄盔	42
10221015	1	蓝	21	地灵环带	42
10121005	1	白	21	地炎环带	42
10210029	1	蓝	帽子	地玄帽	42
10410037	1	橙	帽子	地皇冠	42
10410057	1	橙	帽子	地皇冠	42
10221005	1	蓝	21	天火环带	42
10210050	1	蓝	帽子	宿影盔	42
10421025	1	橙	21	惊雷环带	42
10421045	1	橙	21	惊雷环带	42
10410122	1	橙	帽子	欢乐圣诞帽	42
10210030	1	蓝	帽子	璧月帽	42
10110014	1	白	帽子	皮革帽	42
10421035	1	橙	21	系冰腰扣	42
10421055	1	橙	21	系冰腰扣	42
10410046	1	橙	帽子	翠羽冠	42
10110013	1	白	帽子	虎爪帽	42
10110012	1	白	帽子	虎牙帽	42
10210009	1	蓝	帽子	蜀锦冠	42
10210010	1	蓝	帽子	银锦冠	42
10413068	1	橙	鞋子	一生的守护	43
10412067	1	橙	护手	一生的掌握	43
10411074	1	橙	衣服	一生的足迹	43
10423033	1	橙	23	护符	43
10420067	1	橙	20	苍山狼牙项链	43
10422108	1	橙	22	苍山狼骨戒指	43
10421067	1	橙	21	飘雪腰带	43
10211049	1	蓝	衣服	儒玄靴	44
10211029	1	蓝	衣服	地玄履	44
10411036	1	橙	衣服	地皇靴	44
10411054	1	橙	衣服	地皇靴	44
10211050	1	蓝	衣服	宿影靴	44
10114004	1	白	护腕	狼皮护腕	44
10211030	1	蓝	衣服	璧月履	44
10411026	1	橙	衣服	翠羽鞋	44
10111013	1	白	衣服	虎爪鞋	44
10111012	1	白	衣服	虎牙鞋	44
10111014	1	白	衣服	虎皮鞋	44
10211009	1	蓝	衣服	蜀锦鞋	44
10211010	1	蓝	衣服	银锦鞋	44
10123005	1	白	23	地炎囊	45
10223015	1	蓝	23	如蛟护符	45
10223005	1	蓝	23	影岚护符	45
10222015	1	蓝	22	悬决	45
10423034	1	橙	23	护符	45
10222005	1	蓝	22	流影	45
10122005	1	白	22	流盈	45
10115004	1	白	护肩	狼皮护肩	45
10422109	1	橙	22	铁爪戒指	45
10412068	1	橙	护手	铁爪护手	45
10212049	1	蓝	护手	儒玄手甲	46
10212029	1	蓝	护手	地玄护手	46
10412054	1	橙	护手	地皇爪	46
10212050	1	蓝	护手	宿影掌	46
10212030	1	蓝	护手	璧月护手	46
10412025	1	橙	护手	翠羽护手套	46
10412035	1	橙	护手	翠羽护手套	46
10412045	1	橙	护手	翠羽护手套	46
10112013	1	白	护手	虎爪手套	46
10112012	1	白	护手	虎牙手套	46
10112014	1	白	护手	虎皮手套	46
10212009	1	蓝	护手	蜀锦手套	46
10214009	1	蓝	护腕	蜀锦腕	46
10212010	1	蓝	护手	银锦手套	46
10214010	1	蓝	护腕	银锦腕	46
10410068	1	橙	帽子	七宝夜明盔	48
10120005	1	白	20	云缅链	48
10213049	1	蓝	鞋子	儒玄铠	48
10213029	1	蓝	鞋子	地玄裘	48
10413054	1	橙	鞋子	地皇胄	48
10213050	1	蓝	鞋子	宿影铠	48
10421068	1	橙	21	小胖的腰饰	48
10420068	1	橙	20	小胖的项圈	48
10420026	1	橙	20	暖晶项链	48
10420046	1	橙	20	暖晶项链	48
10413069	1	橙	鞋子	柳叶绵竹铠	48
10220015	1	蓝	20	琉璃结	48
10220005	1	蓝	20	琥珀链	48
10213030	1	蓝	鞋子	璧月裘	48
10413024	1	橙	鞋子	翠羽衣	48
10413033	1	橙	鞋子	翠羽衣	48
10413042	1	橙	鞋子	翠羽衣	48
10113013	1	白	鞋子	虎爪衣	48
10113012	1	白	鞋子	虎牙衣	48
10113014	1	白	鞋子	虎皮衣	48
10215009	1	蓝	护肩	蜀锦肩	48
10213009	1	蓝	鞋子	蜀锦衣	48
10420015	1	橙	20	避尘	48
10420036	1	橙	20	避尘	48
10420056	1	橙	20	避尘	48
10215010	1	蓝	护肩	银锦肩	48
10213010	1	蓝	鞋子	银锦衣	48
10423012	1	橙	23	专诸描金香囊	50
10422010	1	橙	22	兵马大元帅戒指	50
10422007	1	橙	22	南院大王戒指	50
10410084	1	橙	帽子	小白兔耳朵	50
10410092	1	橙	帽子	小白兔耳朵	50
10414012	1	橙	护腕	山阳护腕	50
10414011	1	橙	护腕	山阴护腕	50
10422009	1	橙	22	平南大将军戒指	50
10410113	1	橙	帽子	幸福圣诞帽	50
10414009	1	橙	护腕	御营护腕	50
10423035	1	橙	23	护符	50
10422008	1	橙	22	楚王戒指	50
10410103	1	橙	帽子	欢乐圣诞帽	50
10422126	1	橙	22	永恒钻戒	50
10553119	1	橙	鞋子	真·雪舞测试	50
10422134	1	橙	22	祝福的永恒钻戒	50
10422110	1	橙	22	紫薇的戒指	50
10421069	1	橙	21	紫薇的束带	50
10423013	1	橙	23	聂政青玉佩饰	50
10412069	1	橙	护手	藤甲护手	50
10420069	1	橙	20	藤甲护身链	50
10411076	1	橙	衣服	藤甲长靴	50
10414010	1	橙	护腕	虎帐护腕	50
10423014	1	橙	23	要离龙骨护符	50
