INT	INT	STRING	INT	INT	INT
99	30108	变异昭瑞麒麟	4888	4888	95
100	30178	变异覆海龙君	4888	4888	95
101	30248	变异平天大圣	4888	4888	95
102	30251	变异平天大圣·荡风云	4888	4888	95
103	30388	变异二郎真君	4888	4888	95
104	30468	变异龙三太子	4888	4888	95
105	30568	变异狐小仙	4888	4888	95
106	30638	变异萌宝猪	4888	4888	95
107	30938	变异秦小偶	4888	4888	95
108	31008	变异千锋战蝎	4888	4888	95
109	31041	变异千锋王蝎	4888	4888	95
110	31138	变异万世魂	4888	4888	95
111	31208	变异火焰妖魔	4888	4888	95
112	31278	变异四时山君	4888	4888	95
113	31348	变异霓凰	4888	4888	95
114	34248	变异己亥星君	4888	4888	95
115	34318	变异己亥神君	4888	4888	95
116	34388	变异七宝鸳鸯	4888	4888	95
117	34458	变异九霄开明	4888	4888	95
118	34528	变异太白鹿灵	4888	4888	95
119	34598	变异太平时则	4888	4888	95
120	34668	变异天乙贵人	4888	4888	95
121	34748	变异妙法小僧	4888	4888	95
122	34818	变异元亨明屿	4888	4888	95
123	34888	变异和贞仙蓬	4888	4888	95
124	34958	变异烛引沧溟	4888	4888	95
125	35028	变异昭明归墟	4888	4888	95
126	35098	变异咏爱公主	4888	4888	95
127	35168	变异誓约骑士	4888	4888	95
128	35238	变异天蓬逐月	4888	4888	95
129	35308	变异百变熊猫	4888	4888	95
130	35378	变异破阵将魂	4888	4888	95
131	35448	变异玄凌元君	4888	4888	95
132	35518	变异天极神君	4888	4888	95
133	35718	变异小美美	4888	4888	95
134	35858	变异魔法甜兔	4888	4888	95
135	36248	变异百变圣僧	4888	4888	95
136	36458	变异九天神凰	4888	4888	95
137	36528	变异灵泽穷奇	4888	4888	95
138	36658	变异通天人偶	4888	4888	95
139	36728	变异豆豆龙	4888	4888	95
140	36798	变异出云龙蟒	4888	4888	95
141	36878	变异傲云苍龙	4888	4888	95
142	36948	变异太古龙魂	4888	4888	95
143	37488	变异轩辕天凤	4888	4888	95
144	37558	变异百变汪仔	4888	4888	95
145	37628	变异玄荒腾蛇	4888	4888	95
146	37698	变异娲皇龙蟒	4888	4888	95
147	37818	变异玄女蛇	4888	4888	95
148	37968	变异毛毛牛	4888	4888	95
149	38038	变异圣妆小鹿	4888	4888	95
150	38108	变异昆仑仙骏	4888	4888	95
151	38178	变异逗趣鲨	4888	4888	95
152	38248	变异美猴王	4888	4888	95
153	38318	变异齐天大圣	4888	4888	95
154	38388	变异稚月灵	4888	4888	95
155	38458	变异灵魅儿	4888	4888	95
156	38528	变异碧落青鸾	4888	4888	95
157	38598	变异妙鼠小仙	4888	4888	95
158	38668	变异神机小子	4888	4888	95
159	38738	变异云霄玉兔	4888	4888	95
160	38808	变异灵珠子	4888	4888	95
161	38878	变异噬月苍狗	4888	4888	95
162	38948	变异紫霄玄狼	4888	4888	95
163	38958	变异招财锦狐	4888	4888	95
164	39028	变异蛋蛋鸡	4888	4888	95
165	39098	变异狸美人	4888	4888	95
166	54078	变异小鹿呦呦·幻影	4888	4888	95
167	54148	变异秦小偶·幻影	4888	4888	95
168	54218	变异霓凰·幻影	4888	4888	95
169	26098	变异六耳猕猴	4888	4888	95
170	22206	变异虬龙	4888	4888	75
171	8737	变异魔牙暴龙	4888	4888	85
172	8666	变异蚩玄魔兽	4888	4888	75
173	3204	变异豹子	4888	4888	55
174	3286	变异駮马	4888	4888	75
175	3153	变异老虎	4888	4888	45
176	3031	变异狗	4888	4888	5
177	3021	变异乌龟	4888	4888	5
