INT	INT	INT	INT	STRING	INT	INT
131	1	17	6	大黑蜂	20	774
132	1	17	7	黑衣马匪	20	774
133	1	17	8	红衣马匪	20	774
134	1	17	9	一品堂刺客	20	774
135	1	17	10	轻甲莽盖	20	774
136	1	18	1	南海鳄鱼	20	775
137	1	18	2	鳄鱼帮混混	20	775
138	1	18	3	石老人	20	775
139	1	18	4	鳄鱼帮打手	20	775
140	1	18	5	南海海盗	20	775
141	1	18	6	岳不平	1	775
142	1	19	1	黑沼豹	20	776
143	1	19	2	丛林蜂	20	776
144	1	19	3	黑苗战士	20	776
145	1	19	4	藤甲贼	20	776
146	1	19	5	藤甲勇士	20	776
147	1	19	6	兀骨突	1	776
148	1	19	7	图巴鲁	1	776
149	1	20	1	古里赤	1	777
150	1	20	2	盐湖熊	20	777
151	1	20	3	盐湖鳄鱼	20	777
152	1	20	4	挖盐木人	20	777
153	1	20	5	挖盐苦工	20	777
154	1	20	6	偃师监工	20	777
155	1	20	7	偃师守卫	20	777
156	1	21	1	冰封傀儡	20	778
157	1	21	2	黑熊	20	778
158	1	21	3	东北虎	20	778
159	1	21	4	雪人	20	778
160	1	21	5	獠牙雪人	20	778
161	1	21	6	雪山猎人	20	778
162	1	21	7	纥石烈阿疏	1	778
163	1	22	1	嗜血鳄鱼	20	779
164	1	22	2	鳄鱼帮勇士	20	779
165	1	22	3	南海盗神	20	779
166	1	22	4	鳄鱼帮杀手	20	779
167	1	22	5	鳄鱼帮堂主	20	779
168	1	22	6	裘老七	1	779
169	1	23	1	沼泽鳄鱼	20	780
170	1	23	2	永夜修罗	20	780
171	1	23	3	万劫修罗	20	780
172	1	23	4	厄修罗	20	780
173	1	23	5	阿鼻修罗	20	780
174	1	23	6	古汉	1	780
175	1	23	7	苗越刺客	20	780
176	1	24	1	木云雪人	20	781
177	1	24	2	大黑熊	20	781
178	1	24	3	雪山莽盖	20	781
179	1	24	4	雪山狼	20	781
180	1	24	5	重甲莽盖	20	781
181	1	24	6	巴伦莽盖	20	781
182	1	24	7	霍斯	1	781
183	2	1	1	护宝神兽	1	782
184	2	1	2	盗墓小贼	40	782
185	2	2	1	护宝神兽	1	783
186	2	2	2	沙漠马匪	40	783
187	2	3	1	护宝神兽	1	784
188	2	3	2	护宝铜人	40	784
189	2	4	1	护宝神兽	1	785
190	2	4	2	寻宝豪杰	40	785
191	2	5	1	木桶伯	1	786
192	2	5	2	洞穴石人	40	786
193	2	6	1	断桥花妖	40	787
194	2	6	2	花港毒蜂	40	787
195	2	6	3	流寇	40	787
196	2	6	4	龙井水贼	40	787
197	2	6	5	密探	40	787
198	2	6	6	水鬼探子	40	787
199	2	7	1	赤脚野人	40	788
200	2	7	2	风狼	40	788
201	2	7	3	花斑豹	40	788
202	2	7	4	狼族荆棘使	40	788
203	2	7	5	狼族探子	40	788
204	2	7	6	狼族战士	40	788
205	2	8	1	秦家寨恶霸	40	789
206	2	8	2	秦家寨护卫使	40	789
207	2	8	3	秦家寨头领	40	789
208	2	8	4	秦家寨土匪	40	789
209	2	8	5	秦家寨卫兵	40	789
210	2	8	6	工魂影像	1	789
211	2	9	1	暗杀者	40	790
212	2	9	2	大剑师	40	790
213	2	9	3	荒野剑客	40	790
214	2	9	4	剑齿豹	40	790
215	2	9	5	剑灵	40	790
216	2	9	6	剑冢刺客	40	790
217	2	10	1	狼族神汉	40	791
218	2	10	2	狼族头人	40	791
219	2	10	3	狼族土司	40	791
220	2	10	4	狼族勇士	40	791
221	2	10	5	蓑衣野人	40	791
222	2	10	6	雪狼	40	791
223	2	11	1	迎客毛贼	40	792
224	2	11	2	黑猿	40	792
225	2	11	3	巨蝎	40	792
226	2	11	4	锦衣乞丐	40	792
227	2	11	5	花酒和尚	40	792
228	2	11	6	魏迁	40	792
229	2	11	7	蟾蜍怪	40	792
230	2	11	8	妖邪蜘蛛	40	792
231	2	12	1	打草谷辽兵	40	793
232	2	12	2	红枫熊	40	793
233	2	12	3	红枫蜘蛛	40	793
234	2	12	4	秦家寨护卫	40	793
235	2	12	5	秦家寨教头	40	793
236	2	12	6	秦家寨劫匪	40	793
237	2	13	1	白花蜘蛛	40	794
238	2	13	2	山越护法	40	794
239	2	13	3	山越祭司	40	794
240	2	13	4	山越战士	40	794
241	2	13	5	深谷白猿	40	794
242	2	13	6	树甲哨兵	40	794
243	2	14	1	花岗石狮	40	795
244	2	14	2	狼蛛	40	795
245	2	14	3	页岩石人	40	795
246	2	14	4	棕熊	40	795
247	2	15	1	锦衣乞丐	40	796
248	2	15	2	花酒和尚	40	796
249	2	15	3	文武状元	40	796
250	2	15	4	赖千岛	1	796
251	2	16	1	草原狼	80	797
252	2	16	2	蒙古黑蜂	80	797
253	2	16	3	闪电马匪	80	797
254	2	16	4	弯刀马匪	80	797
255	2	16	5	追风马匪	80	797
256	2	16	6	打草谷宋兵	80	797
257	2	17	1	红袍蜘蛛	80	798
258	2	17	2	流寇	80	798
259	2	17	3	棚民	80	798
260	2	17	4	山越护法	80	798
261	2	17	5	山越祭司	80	798
262	2	18	1	迷人蜂	100	799
263	2	18	2	桃根仙	100	799
264	2	18	3	桃花仙	100	799
265	2	18	4	桃实仙	100	799
266	2	18	5	桃枝仙	100	799
267	2	18	6	花斑豹	100	799
268	2	19	1	盗墓马匪	100	800
269	2	19	2	鬼狼	100	800
270	2	19	3	黑毒蜂	100	800
271	2	19	4	护墓莽盖	100	800
272	2	19	5	骷髅	100	800
273	2	19	6	一品堂刺客	100	800
274	2	20	1	成年灵企鹅	250	801
275	2	20	2	雪原狼	250	801
276	2	20	3	雪原莽盖	250	801
277	2	20	4	银皑雪人	250	801
278	2	20	5	成年圣企鹅	250	801
279	2	20	6	企鹅王	1	801
280	2	21	1	鳄鱼帮打手	250	802
281	2	21	2	鳄鱼帮混混	250	802
282	2	21	3	南海鳄鱼	250	802
283	2	21	4	南海海盗	250	802
284	2	21	5	石老人	250	802
285	2	22	1	挖盐苦工	250	803
286	2	22	2	挖盐木人	250	803
287	2	22	3	盐湖鳄鱼	250	803
288	2	22	4	盐湖熊	250	803
289	2	22	5	偃师监工	250	803
290	2	22	6	偃师守卫	250	803
291	2	23	1	巴伦莽盖	250	804
292	2	23	2	大黑熊	250	804
293	2	23	3	雪山狼	250	804
294	2	23	4	雪山莽盖	250	804
295	2	23	5	重甲莽盖	250	804
296	3	1	1	护岛神兽20级	1	805
297	3	1	2	护岛神兽40级	1	805
298	3	1	3	护岛神兽60级	1	805
299	3	1	4	护岛神兽80级	1	805
300	3	1	5	无敌飞天猫	1	805
301	3	1	6	莽牯毒蛤王	1	805
302	3	2	1	闪电狗	1	806
303	3	2	2	龙龟	1	806
304	3	3	1	大笨熊	1	807
305	3	3	2	小兔兔	1	807
306	3	3	3	飘飘鸭	1	807
307	3	4	1	猿公子	1	808
308	3	4	2	峨嵋利爪恶猿	40	808
309	3	4	3	峨嵋白眉恶猿	40	808
310	3	4	4	峨嵋凶猱	40	808
311	3	5	1	孙立者	1	809
312	3	5	2	复仇恶猿	40	809
313	3	5	3	强壮恶猿	40	809
314	3	5	4	精壮恶猿	40	809
315	3	6	1	金裳	1	810
316	3	6	2	密探先锋	40	810
317	3	6	3	青旗探马	40	810
318	3	6	4	蓝旗探马	40	810
319	3	7	1	彭侯	1	811
320	3	7	2	木人喽啰	40	811
321	3	7	3	木人精英	40	811
322	3	7	4	木人武士	40	811
323	3	8	1	王君	1	812
324	3	8	2	灭妖傀儡	40	812
325	3	8	3	诛仙傀儡	40	812
326	3	8	4	弑神傀儡	40	812
327	3	9	1	白岑	1	835
328	3	9	2	天山小雪怪	40	835
329	3	9	3	天山大雪怪	40	835
330	3	9	4	天山雪怪王	40	835
331	3	10	1	孟昧	1	814
332	3	10	2	妖异心魔	40	814
333	3	10	3	破嗔心魔	40	814
334	3	10	4	杀欲心魔	40	814
335	3	11	1	贾川	1	815
336	3	11	2	腐体傀儡	40	815
337	3	11	3	蚀心傀儡	40	815
338	3	11	4	化魄傀儡	40	815
339	3	12	1	秋三十娘	1	816
340	3	12	2	木王蜘蛛	40	816
341	3	12	3	水王蜘蛛	40	816
342	3	12	4	火王蜘蛛	40	816
343	3	13	1	霜影	1	817
344	4	1	1	白棋子	10	818
345	4	1	2	黑棋子	10	818
346	4	1	3	白棋魂	10	818
347	4	1	4	黑棋魂	10	818
348	4	1	5	远古棋魂	1	818
349	4	2	1	上古银宝箱	10	819
350	4	2	2	上古金宝箱	10	819
351	4	2	3	银宝箱童子	10	819
352	4	2	4	金宝箱童子	10	819
353	4	2	5	镇宝龙王	1	819
354	4	3	1	贼兵喽啰	30	820
355	4	3	2	贼兵头目	1	820
356	4	4	1	伪宋军	10	821
357	4	4	2	逃窜匪类	1	821
358	4	4	3	伪宋军副都统	1	821
359	4	4	4	伪宋军都统	1	821
360	4	4	5	余毒	1	821
361	4	4	6	野熊	10	822
362	4	4	7	红熊王	1	822
363	4	4	8	绿林大盗	10	822
364	4	4	9	绿林劫匪	10	822
365	4	4	10	狗头军师	10	822
366	4	4	11	山寨大王	1	822
367	4	5	1	玄雷坡土匪	10	823
368	4	5	2	牛曲	1	823
369	4	5	3	牛奇	1	823
370	4	5	4	王阎	1	823
371	4	5	5	毒障小怪	10	823
372	4	5	6	撕风魔	1	824
373	4	5	7	裂地行者	1	824
374	4	5	8	武玄将	1	824
375	4	5	9	五毒魔使	1	824
376	4	5	10	破焰尊者	1	824
377	4	5	11	洪棘妖王	1	824
378	4	5	12	妖魔随从	10	824
379	4	5	13	火焰妖魔	1	824
380	4	6	1	哈大霸	1	825
381	4	6	2	桑土公	1	825
382	4	6	3	乌老大	1	825
383	4	6	4	卓不凡	1	825
384	4	6	5	不平道人	1	825
385	4	6	6	任平生	1	825
386	4	6	7	李秋水	1	825
387	4	7	1	岳老三	1	826
388	4	7	2	云中鹤	1	826
389	4	7	3	叶二娘	1	826
390	4	7	4	段延庆	1	826
391	4	7	5	姚伯当	1	826
392	4	7	6	司马林	1	826
393	4	7	7	鸠摩智	1	826
394	4	7	8	慕容复	1	826
395	4	8	1	喽啰	30	827
396	4	8	2	恶霸	1	827
397	4	9	1	宋姜	1	828
398	4	9	2	李魁	1	828
399	4	9	3	吴永	1	828
400	4	9	4	卢君逸	1	828
401	4	9	5	公孙圣	1	828
402	4	9	6	关盛	1	829
403	4	9	7	鲁志生	1	829
404	4	9	8	呼延啄	1	829
405	4	9	9	林充	1	829
406	4	9	10	秦冥	1	829
407	4	9	11	花容	1	829
408	4	9	12	武颂	1	829
409	4	10	1	伪官军	10	830
410	4	10	2	盗书恶僧	5	830
411	4	10	3	蒙面恶僧	1	830
412	4	11	1	暴走白斑猪	10	831
413	4	11	2	暴走黑鬃猪	10	831
414	4	11	3	暴走红皮猪	10	831
415	4	11	4	野猪头目	1	831
416	4	11	5	尖牙野猪	10	831
417	4	11	6	尖牙野猪王	1	831
418	4	11	7	狂暴龙	1	831
419	4	12	1	雷麟	10	832
420	4	12	2	雏凤	10	832
421	4	12	3	护岛神兽	1	832
422	4	13	1	黄色足球	10	833
423	4	13	2	红色足球	10	833
424	4	13	3	蓝色足球	10	833
425	4	13	4	花色足球	10	833
426	4	13	5	孙美美	1	833
