INT	INT	INT
693	2	0
694	4	0
695	6	0
696	10	0
697	14	0
698	20	0
699	26	0
700	34	0
701	42	0
702	50	0
703	58	0
704	66	0
705	74	0
706	82	0
707	90	0
708	98	0
709	106	0
710	114	0
711	122	0
712	130	0
713	140	0
714	150	0
715	160	0
716	170	0
717	180	0
718	190	0
719	200	0
720	210	0
721	220	0
722	230	0
723	242	0
724	254	0
725	266	0
726	278	0
727	290	0
728	302	0
729	314	0
730	326	0
731	338	0
732	350	0
733	365	0
734	380	0
735	395	0
736	410	0
737	425	0
738	440	0
739	455	0
740	470	0
741	485	0
742	500	0
743	518	0
744	536	0
745	554	0
746	572	0
747	590	0
748	608	0
749	626	0
750	644	0
751	662	0
752	680	0
753	700	0
754	720	0
755	740	0
756	760	0
757	780	0
758	800	0
759	820	0
760	840	0
761	860	0
762	880	0
763	902	0
764	924	0
765	946	0
766	968	0
767	990	0
768	1012	0
769	1034	0
770	1056	0
771	1078	0
772	1100	0
773	1125	0
774	1150	0
775	1175	0
776	1200	0
777	1225	0
778	1250	0
779	1275	0
780	1300	0
781	1325	0
782	1350	0
783	1380	0
784	1410	0
785	1440	0
786	1470	0
787	1500	0
788	1530	0
789	1560	0
790	1590	0
791	1620	0
792	0	0
793	0	0
794	0	0
795	0	0
796	0	0
797	0	0
798	0	0
799	0	0
800	0	0
801	0	0
802	0	0
803	0	0
804	0	0
805	0	0
806	0	0
807	0	0
808	0	0
809	0	0
810	0	0
811	0	0
812	0	0
813	0	0
814	0	0
815	0	0
816	0	0
817	0	0
818	0	0
819	0	0
820	0	0
821	0	0
822	0	0
823	0	0
824	0	0
825	0	0
826	0	0
827	0	0
828	0	0
829	0	0
830	0	0
831	0	0
832	0	0
833	0	0
834	0	0
835	0	0
836	0	0
837	0	0
838	0	0
839	0	0
840	0	0
841	0	0
842	0	0
843	0	0
844	0	0
845	0	0
846	0	0
847	0	0
848	0	0
849	0	0
850	0	0
851	0	0
852	0	0
853	0	0
854	0	0
855	0	0
856	0	0
857	0	0
858	0	0
859	0	0
860	0	0
861	0	0
862	0	0
863	0	0
864	0	0
865	0	0
866	0	0
867	0	0
868	0	0
869	0	0
870	0	0
871	0	0
872	0	0
873	0	0
874	0	0
875	0	0
876	0	0
877	0	0
878	0	0
879	0	0
880	0	0
881	0	0
882	0	0
883	0	0
884	0	0
885	0	0
886	0	0
887	0	0
888	0	0
889	0	0
890	0	0
891	0	0
892	0	0
893	0	0
894	0	0
895	0	0
896	0	0
897	0	0
898	0	0
899	0	0
900	0	0
901	0	0
902	0	0
903	0	0
904	0	0
905	0	0
906	0	0
907	0	0
908	0	0
909	0	0
910	0	0
911	0	0
912	0	0
913	0	0
914	0	0
915	0	0
916	0	0
917	0	0
918	0	0
919	0	0
920	0	0
921	0	0
922	0	0
923	0	0
924	0	0
925	0	0
926	0	0
927	0	0
928	0	0
929	0	0
930	0	0
931	0	0
932	0	0
933	0	0
934	0	0
935	0	0
936	0	0
937	0	0
938	0	0
939	0	0
940	0	0
941	0	0
942	0	0
943	0	0
944	0	0
945	0	0
946	0	0
947	0	0
948	0	0
949	0	0
950	0	0
951	0	0
952	0	0
953	0	0
954	0	0
955	0	0
956	0	0
957	0	0
958	0	0
959	0	0
960	0	0
961	0	0
962	0	0
963	0	0
964	0	0
965	0	0
966	0	0
967	0	0
968	0	0
969	0	0
970	0	0
971	0	0
972	0	0
973	0	0
974	0	0
975	0	0
976	0	0
977	0	0
978	0	0
979	0	0
980	0	0
981	0	0
982	0	0
983	0	0
984	0	0
985	0	0
986	0	0
987	0	0
988	0	0
989	0	0
990	2	0
991	4	0
992	6	0
993	10	0
994	14	0
995	20	0
996	26	0
997	34	0
998	42	0
999	50	0
1000	58	0
1001	66	0
1002	74	0
1003	82	0
1004	90	0
1005	98	0
1006	106	0
1007	114	0
1008	122	0
1009	130	0
1010	140	0
1011	150	0
1012	160	0
1013	170	0
1014	180	0
1015	190	0
1016	200	0
1017	210	0
1018	220	0
1019	230	0
1020	242	0
1021	254	0
1022	266	0
1023	278	0
1024	290	0
1025	302	0
1026	314	0
1027	326	0
1028	338	0
1029	350	0
1030	365	0
1031	380	0
1032	395	0
1033	410	0
1034	425	0
1035	440	0
1036	455	0
1037	470	0
1038	485	0
1039	500	0
1040	518	0
1041	536	0
1042	554	0
1043	572	0
1044	590	0
1045	608	0
1046	626	0
1047	644	0
1048	662	0
1049	680	0
1050	700	0
1051	720	0
1052	740	0
1053	760	0
1054	780	0
1055	800	0
1056	820	0
1057	840	0
1058	860	0
1059	880	0
1060	902	0
1061	924	0
1062	946	0
1063	968	0
1064	990	0
1065	1012	0
1066	1034	0
1067	1056	0
1068	1078	0
1069	1100	0
1070	1125	0
1071	1150	0
1072	1175	0
1073	1200	0
1074	1225	0
1075	1250	0
1076	1275	0
1077	1300	0
1078	1325	0
1079	1350	0
1080	1380	0
1081	1410	0
1082	1440	0
1083	1470	0
1084	1500	0
1085	1530	0
1086	1560	0
1087	1590	0
1088	1620	0
1089	0	0
1090	0	0
1091	0	0
1092	0	0
1093	0	0
1094	0	0
1095	0	0
1096	0	0
1097	0	0
1098	0	0
1099	0	0
1100	0	0
1101	0	0
1102	0	0
1103	0	0
1104	0	0
1105	0	0
1106	0	0
1107	0	0
1108	0	0
1109	0	0
1110	0	0
1111	0	0
1112	0	0
1113	0	0
1114	0	0
1115	0	0
1116	0	0
1117	0	0
1118	0	0
1119	0	0
1120	0	0
1121	0	0
1122	0	0
1123	0	0
1124	0	0
1125	0	0
1126	0	0
1127	0	0
1128	0	0
1129	0	0
1130	0	0
1131	0	0
1132	0	0
1133	0	0
1134	0	0
1135	0	0
1136	0	0
1137	0	0
1138	0	0
1139	0	0
1140	0	0
1141	0	0
1142	0	0
1143	0	0
1144	0	0
1145	0	0
1146	0	0
1147	0	0
1148	0	0
1149	0	0
1150	0	0
1151	0	0
1152	0	0
1153	0	0
1154	0	0
1155	0	0
1156	0	0
1157	0	0
1158	0	0
1159	0	0
1160	0	0
1161	0	0
1162	0	0
1163	0	0
1164	0	0
1165	0	0
1166	0	0
1167	0	0
1168	0	0
1169	0	0
1170	0	0
1171	0	0
1172	0	0
1173	0	0
1174	0	0
1175	0	0
1176	0	0
1177	0	0
1178	0	0
1179	0	0
1180	0	0
1181	0	0
1182	0	0
1183	0	0
1184	0	0
1185	0	0
1186	0	0
1187	0	0
1188	2	0
1189	4	0
1190	6	0
1191	10	0
1192	14	0
1193	20	0
1194	26	0
1195	34	0
1196	42	0
1197	50	0
1198	58	0
1199	66	0
1200	74	0
1201	82	0
1202	90	0
1203	98	0
1204	106	0
1205	114	0
1206	122	0
1207	130	0
1208	140	0
1209	150	0
1210	160	0
1211	170	0
1212	180	0
1213	190	0
1214	200	0
1215	210	0
1216	220	0
1217	230	0
1218	242	0
1219	254	0
1220	266	0
1221	278	0
1222	290	0
1223	302	0
1224	314	0
1225	326	0
1226	338	0
1227	350	0
1228	365	0
1229	380	0
1230	395	0
1231	410	0
1232	425	0
1233	440	0
1234	455	0
1235	470	0
1236	485	0
1237	500	0
1238	518	0
1239	536	0
1240	554	0
1241	572	0
1242	590	0
1243	608	0
1244	626	0
1245	644	0
1246	662	0
1247	680	0
1248	700	0
1249	720	0
1250	740	0
1251	760	0
1252	780	0
1253	800	0
1254	820	0
1255	840	0
1256	860	0
1257	880	0
1258	902	0
1259	924	0
1260	946	0
1261	968	0
1262	990	0
1263	1012	0
1264	1034	0
1265	1056	0
1266	1078	0
1267	1100	0
1268	1125	0
1269	1150	0
1270	1175	0
1271	1200	0
1272	1225	0
1273	1250	0
1274	1275	0
1275	1300	0
1276	1325	0
1277	1350	0
1278	1380	0
1279	1410	0
1280	1440	0
1281	1470	0
1282	1500	0
1283	1530	0
1284	1560	0
1285	1590	0
1286	1620	0
1287	0	0
1288	0	0
1289	0	0
1290	0	0
1291	0	0
1292	0	0
1293	0	0
1294	0	0
1295	0	0
1296	0	0
1297	0	0
1298	0	0
1299	0	0
1300	0	0
1301	0	0
1302	0	0
1303	0	0
1304	0	0
1305	0	0
1306	0	0
1307	0	0
1308	0	0
1309	0	0
1310	0	0
1311	0	0
1312	0	0
1313	0	0
1314	0	0
1315	0	0
1316	0	0
1317	0	0
1318	0	0
1319	0	0
1320	0	0
1321	0	0
1322	0	0
1323	0	0
1324	0	0
1325	0	0
1326	0	0
1327	0	0
1328	0	0
1329	0	0
1330	0	0
1331	0	0
1332	0	0
1333	0	0
1334	0	0
1335	0	0
1336	0	0
1337	0	0
1338	0	0
1339	0	0
1340	0	0
1341	0	0
1342	0	0
1343	0	0
1344	0	0
1345	0	0
1346	0	0
1347	0	0
1348	0	0
1349	0	0
1350	0	0
1351	0	0
1352	0	0
1353	0	0
1354	0	0
1355	0	0
1356	0	0
1357	0	0
1358	0	0
1359	0	0
1360	0	0
1361	0	0
1362	0	0
1363	0	0
1364	0	0
1365	0	0
1366	0	0
1367	0	0
1368	0	0
1369	0	0
1370	0	0
1371	0	0
1372	0	0
1373	0	0
1374	0	0
1375	0	0
1376	0	0
1377	0	0
1378	0	0
1379	0	0
1380	0	0
1381	0	0
1382	0	0
1383	0	0
1384	0	0
1385	0	0
1386	2	0
1387	4	0
1388	6	0
1389	10	0
1390	14	0
1391	20	0
1392	26	0
1393	34	0
1394	42	0
1395	50	0
1396	58	0
1397	66	0
1398	74	0
1399	82	0
1400	90	0
1401	98	0
1402	106	0
1403	114	0
1404	122	0
1405	130	0
1406	140	0
1407	150	0
1408	160	0
1409	170	0
1410	180	0
1411	190	0
1412	200	0
1413	210	0
1414	220	0
1415	230	0
1416	242	0
1417	254	0
1418	266	0
1419	278	0
1420	290	0
1421	302	0
1422	314	0
1423	326	0
1424	338	0
1425	350	0
1426	365	0
1427	380	0
1428	395	0
1429	410	0
1430	425	0
1431	440	0
1432	455	0
1433	470	0
1434	485	0
1435	500	0
1436	518	0
1437	536	0
1438	554	0
1439	572	0
1440	590	0
1441	608	0
1442	626	0
1443	644	0
1444	662	0
1445	680	0
1446	700	0
1447	720	0
1448	740	0
1449	760	0
1450	780	0
1451	800	0
1452	820	0
1453	840	0
1454	860	0
1455	880	0
1456	902	0
1457	924	0
1458	946	0
1459	968	0
1460	990	0
1461	1012	0
1462	1034	0
1463	1056	0
1464	1078	0
1465	1100	0
1466	1125	0
1467	1150	0
1468	1175	0
1469	1200	0
1470	1225	0
1471	1250	0
1472	1275	0
1473	1300	0
1474	1325	0
1475	1350	0
1476	1380	0
1477	1410	0
1478	1440	0
1479	1470	0
1480	1500	0
1481	1530	0
1482	1560	0
1483	1590	0
1484	1620	0
1485	0	2
1486	0	4
1487	0	6
1488	0	10
1489	0	14
1490	0	20
1491	0	26
1492	0	34
1493	0	42
1494	0	50
1495	0	58
1496	0	66
1497	0	74
1498	0	82
1499	0	90
1500	0	98
1501	0	106
1502	0	114
1503	0	122
1504	0	130
1505	0	140
1506	0	150
1507	0	160
1508	0	170
1509	0	180
1510	0	190
1511	0	200
1512	0	210
1513	0	220
1514	0	230
1515	0	242
1516	0	254
1517	0	266
1518	0	278
1519	0	290
1520	0	302
1521	0	314
1522	0	326
1523	0	338
1524	0	350
1525	0	365
1526	0	380
1527	0	395
1528	0	410
1529	0	425
1530	0	440
1531	0	455
1532	0	470
1533	0	485
1534	0	500
1535	0	518
1536	0	536
1537	0	554
1538	0	572
1539	0	590
1540	0	608
1541	0	626
1542	0	644
1543	0	662
1544	0	680
1545	0	700
1546	0	720
1547	0	740
1548	0	760
1549	0	780
1550	0	800
1551	0	820
1552	0	840
1553	0	860
1554	0	880
1555	0	902
1556	0	924
1557	0	946
1558	0	968
1559	0	990
1560	0	1012
1561	0	1034
1562	0	1056
1563	0	1078
1564	0	1100
1565	0	1125
1566	0	1150
1567	0	1175
1568	0	1200
1569	0	1225
1570	0	1250
1571	0	1275
1572	0	1300
1573	0	1325
1574	0	1350
1575	0	1380
1576	0	1410
1577	0	1440
1578	0	1470
1579	0	1500
1580	0	1530
1581	0	1560
1582	0	1590
1583	0	1620
1584	0	0
1585	0	0
1586	0	0
1587	0	0
1588	0	0
1589	0	0
1590	0	0
1591	0	0
1592	0	0
1593	0	0
1594	0	0
1595	0	0
1596	0	0
1597	0	0
1598	0	0
1599	0	0
1600	0	0
1601	0	0
1602	0	0
1603	0	0
1604	0	0
1605	0	0
1606	0	0
1607	0	0
1608	0	0
1609	0	0
1610	0	0
1611	0	0
1612	0	0
1613	0	0
1614	0	0
1615	0	0
1616	0	0
1617	0	0
1618	0	0
1619	0	0
1620	0	0
1621	0	0
1622	0	0
1623	0	0
1624	0	0
1625	0	0
1626	0	0
1627	0	0
1628	0	0
1629	0	0
1630	0	0
1631	0	0
1632	0	0
1633	0	0
1634	0	0
1635	0	0
1636	0	0
1637	0	0
1638	0	0
1639	0	0
1640	0	0
1641	0	0
1642	0	0
1643	0	0
1644	0	0
1645	0	0
1646	0	0
1647	0	0
1648	0	0
1649	0	0
1650	0	0
1651	0	0
1652	0	0
1653	0	0
1654	0	0
1655	0	0
1656	0	0
1657	0	0
1658	0	0
1659	0	0
1660	0	0
1661	0	0
1662	0	0
1663	0	0
1664	0	0
1665	0	0
1666	0	0
1667	0	0
1668	0	0
1669	0	0
1670	0	0
1671	0	0
1672	0	0
1673	0	0
1674	0	0
1675	0	0
1676	0	0
1677	0	0
1678	0	0
1679	0	0
1680	0	0
1681	0	0
1682	0	0
1683	2	0
1684	4	0
1685	6	0
1686	10	0
1687	14	0
1688	20	0
1689	26	0
1690	34	0
1691	42	0
1692	50	0
1693	58	0
1694	66	0
1695	74	0
1696	82	0
1697	90	0
1698	98	0
1699	106	0
1700	114	0
1701	122	0
1702	130	0
1703	140	0
1704	150	0
1705	160	0
1706	170	0
1707	180	0
1708	190	0
1709	200	0
1710	210	0
1711	220	0
1712	230	0
1713	242	0
1714	254	0
1715	266	0
1716	278	0
1717	290	0
1718	302	0
1719	314	0
1720	326	0
1721	338	0
1722	350	0
1723	365	0
1724	380	0
1725	395	0
1726	410	0
1727	425	0
1728	440	0
1729	455	0
1730	470	0
1731	485	0
1732	500	0
1733	518	0
1734	536	0
1735	554	0
1736	572	0
1737	590	0
1738	608	0
1739	626	0
1740	644	0
1741	662	0
1742	680	0
1743	700	0
1744	720	0
1745	740	0
1746	760	0
1747	780	0
1748	800	0
1749	820	0
1750	840	0
1751	860	0
1752	880	0
1753	902	0
1754	924	0
1755	946	0
1756	968	0
1757	990	0
1758	1012	0
1759	1034	0
1760	1056	0
1761	1078	0
1762	1100	0
1763	1125	0
1764	1150	0
1765	1175	0
1766	1200	0
1767	1225	0
1768	1250	0
1769	1275	0
1770	1300	0
1771	1325	0
1772	1350	0
1773	1380	0
1774	1410	0
1775	1440	0
1776	1470	0
1777	1500	0
1778	1530	0
1779	1560	0
1780	1590	0
1781	1620	0
1782	0	0
1783	0	0
1784	0	0
1785	0	0
1786	0	0
1787	0	0
1788	0	0
1789	0	0
1790	0	0
1791	0	0
1792	0	0
1793	0	0
1794	0	0
1795	0	0
1796	0	0
1797	0	0
1798	0	0
1799	0	0
1800	0	0
1801	0	0
1802	0	0
1803	0	0
1804	0	0
1805	0	0
1806	0	0
1807	0	0
1808	0	0
1809	0	0
1810	0	0
1811	0	0
1812	0	0
1813	0	0
1814	0	0
1815	0	0
1816	0	0
1817	0	0
1818	0	0
1819	0	0
1820	0	0
1821	0	0
1822	0	0
1823	0	0
1824	0	0
1825	0	0
1826	0	0
1827	0	0
1828	0	0
1829	0	0
1830	0	0
1831	0	0
1832	0	0
1833	0	0
1834	0	0
1835	0	0
1836	0	0
1837	0	0
1838	0	0
1839	0	0
1840	0	0
1841	0	0
1842	0	0
1843	0	0
1844	0	0
1845	0	0
1846	0	0
1847	0	0
1848	0	0
1849	0	0
1850	0	0
1851	0	0
1852	0	0
1853	0	0
1854	0	0
1855	0	0
1856	0	0
1857	0	0
1858	0	0
1859	0	0
1860	0	0
1861	0	0
1862	0	0
1863	0	0
1864	0	0
1865	0	0
1866	0	0
1867	0	0
1868	0	0
1869	0	0
1870	0	0
1871	0	0
1872	0	0
1873	0	0
1874	0	0
1875	0	0
1876	0	0
1877	0	0
1878	0	0
1879	0	0
1880	0	0
