INT	INT	INT	STRING
139	30110139	122840	武器冰攻雕纹9级
140	30110140	247790	武器冰攻雕纹10级
141	30110141	480	武器火攻雕纹1级
142	30110142	550	武器火攻雕纹2级
143	30110143	865	武器火攻雕纹3级
144	30110144	2615	武器火攻雕纹4级
145	30110145	5660	武器火攻雕纹5级
146	30110146	11435	武器火攻雕纹6级
147	30110147	21375	武器火攻雕纹7级
148	30110148	49760	武器火攻雕纹8级
149	30110149	122840	武器火攻雕纹9级
150	30110150	247790	武器火攻雕纹10级
151	30110151	480	武器玄攻雕纹1级
152	30110152	550	武器玄攻雕纹2级
153	30110153	865	武器玄攻雕纹3级
154	30110154	2615	武器玄攻雕纹4级
155	30110155	5660	武器玄攻雕纹5级
156	30110156	11435	武器玄攻雕纹6级
157	30110157	21375	武器玄攻雕纹7级
158	30110158	49760	武器玄攻雕纹8级
159	30110159	122840	武器玄攻雕纹9级
160	30110160	247790	武器玄攻雕纹10级
161	30110161	480	武器毒攻雕纹1级
162	30110162	550	武器毒攻雕纹2级
163	30110163	865	武器毒攻雕纹3级
164	30110164	2615	武器毒攻雕纹4级
165	30110165	5660	武器毒攻雕纹5级
166	30110166	11435	武器毒攻雕纹6级
167	30110167	21375	武器毒攻雕纹7级
168	30110168	49760	武器毒攻雕纹8级
169	30110169	122840	武器毒攻雕纹9级
170	30110170	247790	武器毒攻雕纹10级
171	30110171	880	武器减冰抗雕纹1级
172	30110172	1090	武器减冰抗雕纹2级
173	30110173	2035	武器减冰抗雕纹3级
174	30110174	7285	武器减冰抗雕纹4级
175	30110175	16420	武器减冰抗雕纹5级
176	30110176	33745	武器减冰抗雕纹6级
177	30110177	63565	武器减冰抗雕纹7级
178	30110178	148720	武器减冰抗雕纹8级
179	30110179	367960	武器减冰抗雕纹9级
180	30110180	654610	武器减冰抗雕纹10级
181	30110181	880	武器减火抗雕纹1级
182	30110182	1090	武器减火抗雕纹2级
183	30110183	2035	武器减火抗雕纹3级
184	30110184	7285	武器减火抗雕纹4级
185	30110185	16420	武器减火抗雕纹5级
186	30110186	33745	武器减火抗雕纹6级
187	30110187	63565	武器减火抗雕纹7级
188	30110188	148720	武器减火抗雕纹8级
189	30110189	367960	武器减火抗雕纹9级
190	30110190	654610	武器减火抗雕纹10级
191	30110191	880	武器减玄抗雕纹1级
192	30110192	1090	武器减玄抗雕纹2级
193	30110193	2035	武器减玄抗雕纹3级
194	30110194	7285	武器减玄抗雕纹4级
195	30110195	16420	武器减玄抗雕纹5级
196	30110196	33745	武器减玄抗雕纹6级
197	30110197	63565	武器减玄抗雕纹7级
198	30110198	148720	武器减玄抗雕纹8级
199	30110199	367960	武器减玄抗雕纹9级
200	30110200	654610	武器减玄抗雕纹10级
201	30110201	880	武器减毒抗雕纹1级
202	30110202	1090	武器减毒抗雕纹2级
203	30110203	2035	武器减毒抗雕纹3级
204	30110204	7285	武器减毒抗雕纹4级
205	30110205	16420	武器减毒抗雕纹5级
206	30110206	33745	武器减毒抗雕纹6级
207	30110207	63565	武器减毒抗雕纹7级
208	30110208	148720	武器减毒抗雕纹8级
209	30110209	367960	武器减毒抗雕纹9级
210	30110210	654610	武器减毒抗雕纹10级
211	30110211	480	帽子定力雕纹1级
212	30110212	550	帽子定力雕纹2级
213	30110213	865	帽子定力雕纹3级
214	30110214	2615	帽子定力雕纹4级
215	30110215	5660	帽子定力雕纹5级
216	30110216	11435	帽子定力雕纹6级
217	30110217	21375	帽子定力雕纹7级
218	30110218	49760	帽子定力雕纹8级
219	30110219	122840	帽子定力雕纹9级
220	30110220	247790	帽子定力雕纹10级
221	30110221	480	帽子身法雕纹1级
222	30110222	550	帽子身法雕纹2级
223	30110223	865	帽子身法雕纹3级
224	30110224	2615	帽子身法雕纹4级
225	30110225	5660	帽子身法雕纹5级
226	30110226	11435	帽子身法雕纹6级
227	30110227	21375	帽子身法雕纹7级
228	30110228	49760	帽子身法雕纹8级
229	30110229	122840	帽子身法雕纹9级
230	30110230	247790	帽子身法雕纹10级
231	30110231	480	帽子冰抗雕纹1级
232	30110232	550	帽子冰抗雕纹2级
233	30110233	865	帽子冰抗雕纹3级
234	30110234	2615	帽子冰抗雕纹4级
235	30110235	5660	帽子冰抗雕纹5级
236	30110236	11435	帽子冰抗雕纹6级
237	30110237	21375	帽子冰抗雕纹7级
238	30110238	49760	帽子冰抗雕纹8级
239	30110239	122840	帽子冰抗雕纹9级
240	30110240	247790	帽子冰抗雕纹10级
241	30110241	480	帽子火抗雕纹1级
242	30110242	550	帽子火抗雕纹2级
243	30110243	865	帽子火抗雕纹3级
244	30110244	2615	帽子火抗雕纹4级
245	30110245	5660	帽子火抗雕纹5级
246	30110246	11435	帽子火抗雕纹6级
247	30110247	21375	帽子火抗雕纹7级
248	30110248	49760	帽子火抗雕纹8级
249	30110249	122840	帽子火抗雕纹9级
250	30110250	247790	帽子火抗雕纹10级
251	30110251	480	帽子玄抗雕纹1级
252	30110252	550	帽子玄抗雕纹2级
253	30110253	865	帽子玄抗雕纹3级
254	30110254	2615	帽子玄抗雕纹4级
255	30110255	5660	帽子玄抗雕纹5级
256	30110256	11435	帽子玄抗雕纹6级
257	30110257	21375	帽子玄抗雕纹7级
258	30110258	49760	帽子玄抗雕纹8级
259	30110259	122840	帽子玄抗雕纹9级
260	30110260	247790	帽子玄抗雕纹10级
261	30110261	480	帽子毒抗雕纹1级
262	30110262	550	帽子毒抗雕纹2级
263	30110263	865	帽子毒抗雕纹3级
264	30110264	2615	帽子毒抗雕纹4级
265	30110265	5660	帽子毒抗雕纹5级
266	30110266	11435	帽子毒抗雕纹6级
267	30110267	21375	帽子毒抗雕纹7级
268	30110268	49760	帽子毒抗雕纹8级
269	30110269	122840	帽子毒抗雕纹9级
270	30110270	247790	帽子毒抗雕纹10级
271	30110271	480	衣服体力雕纹1级
272	30110272	550	衣服体力雕纹2级
273	30110273	865	衣服体力雕纹3级
274	30110274	2615	衣服体力雕纹4级
275	30110275	5660	衣服体力雕纹5级
276	30110276	11435	衣服体力雕纹6级
277	30110277	21375	衣服体力雕纹7级
278	30110278	49760	衣服体力雕纹8级
279	30110279	122840	衣服体力雕纹9级
280	30110280	247790	衣服体力雕纹10级
281	30110281	480	衣服定力雕纹1级
282	30110282	550	衣服定力雕纹2级
283	30110283	865	衣服定力雕纹3级
284	30110284	2615	衣服定力雕纹4级
285	30110285	5660	衣服定力雕纹5级
286	30110286	11435	衣服定力雕纹6级
287	30110287	21375	衣服定力雕纹7级
288	30110288	49760	衣服定力雕纹8级
289	30110289	122840	衣服定力雕纹9级
290	30110290	247790	衣服定力雕纹10级
291	30110291	480	衣服身法雕纹1级
292	30110292	550	衣服身法雕纹2级
293	30110293	865	衣服身法雕纹3级
294	30110294	2615	衣服身法雕纹4级
295	30110295	5660	衣服身法雕纹5级
296	30110296	11435	衣服身法雕纹6级
297	30110297	21375	衣服身法雕纹7级
298	30110298	49760	衣服身法雕纹8级
299	30110299	122840	衣服身法雕纹9级
300	30110300	247790	衣服身法雕纹10级
301	30110301	480	手套定力雕纹1级
302	30110302	550	手套定力雕纹2级
303	30110303	865	手套定力雕纹3级
304	30110304	2615	手套定力雕纹4级
305	30110305	5660	手套定力雕纹5级
306	30110306	11435	手套定力雕纹6级
307	30110307	21375	手套定力雕纹7级
308	30110308	49760	手套定力雕纹8级
309	30110309	122840	手套定力雕纹9级
310	30110310	247790	手套定力雕纹10级
311	30110311	480	手套身法雕纹1级
312	30110312	550	手套身法雕纹2级
313	30110313	865	手套身法雕纹3级
314	30110314	2615	手套身法雕纹4级
315	30110315	5660	手套身法雕纹5级
316	30110316	11435	手套身法雕纹6级
317	30110317	21375	手套身法雕纹7级
318	30110318	49760	手套身法雕纹8级
319	30110319	122840	手套身法雕纹9级
320	30110320	247790	手套身法雕纹10级
321	30110321	480	护腕力量雕纹1级
322	30110322	550	护腕力量雕纹2级
323	30110323	865	护腕力量雕纹3级
324	30110324	2615	护腕力量雕纹4级
325	30110325	5660	护腕力量雕纹5级
326	30110326	11435	护腕力量雕纹6级
327	30110327	21375	护腕力量雕纹7级
328	30110328	49760	护腕力量雕纹8级
329	30110329	122840	护腕力量雕纹9级
330	30110330	247790	护腕力量雕纹10级
331	30110331	480	护腕灵气雕纹1级
332	30110332	550	护腕灵气雕纹2级
333	30110333	865	护腕灵气雕纹3级
334	30110334	2615	护腕灵气雕纹4级
335	30110335	5660	护腕灵气雕纹5级
336	30110336	11435	护腕灵气雕纹6级
337	30110337	21375	护腕灵气雕纹7级
338	30110338	49760	护腕灵气雕纹8级
339	30110339	122840	护腕灵气雕纹9级
340	30110340	247790	护腕灵气雕纹10级
341	30110341	480	护腕冰攻雕纹1级
342	30110342	550	护腕冰攻雕纹2级
343	30110343	865	护腕冰攻雕纹3级
344	30110344	2615	护腕冰攻雕纹4级
345	30110345	5660	护腕冰攻雕纹5级
346	30110346	11435	护腕冰攻雕纹6级
347	30110347	21375	护腕冰攻雕纹7级
348	30110348	49760	护腕冰攻雕纹8级
349	30110349	122840	护腕冰攻雕纹9级
350	30110350	247790	护腕冰攻雕纹10级
351	30110351	480	护腕火攻雕纹1级
352	30110352	550	护腕火攻雕纹2级
353	30110353	865	护腕火攻雕纹3级
354	30110354	2615	护腕火攻雕纹4级
355	30110355	5660	护腕火攻雕纹5级
356	30110356	11435	护腕火攻雕纹6级
357	30110357	21375	护腕火攻雕纹7级
358	30110358	49760	护腕火攻雕纹8级
359	30110359	122840	护腕火攻雕纹9级
360	30110360	247790	护腕火攻雕纹10级
361	30110361	480	护腕玄攻雕纹1级
362	30110362	550	护腕玄攻雕纹2级
363	30110363	865	护腕玄攻雕纹3级
364	30110364	2615	护腕玄攻雕纹4级
365	30110365	5660	护腕玄攻雕纹5级
366	30110366	11435	护腕玄攻雕纹6级
367	30110367	21375	护腕玄攻雕纹7级
368	30110368	49760	护腕玄攻雕纹8级
369	30110369	122840	护腕玄攻雕纹9级
370	30110370	247790	护腕玄攻雕纹10级
371	30110371	480	护腕毒攻雕纹1级
372	30110372	550	护腕毒攻雕纹2级
373	30110373	865	护腕毒攻雕纹3级
374	30110374	2615	护腕毒攻雕纹4级
375	30110375	5660	护腕毒攻雕纹5级
376	30110376	11435	护腕毒攻雕纹6级
377	30110377	21375	护腕毒攻雕纹7级
378	30110378	49760	护腕毒攻雕纹8级
379	30110379	122840	护腕毒攻雕纹9级
380	30110380	247790	护腕毒攻雕纹10级
381	30110381	480	护肩定力雕纹1级
382	30110382	550	护肩定力雕纹2级
383	30110383	865	护肩定力雕纹3级
384	30110384	2615	护肩定力雕纹4级
385	30110385	5660	护肩定力雕纹5级
386	30110386	11435	护肩定力雕纹6级
387	30110387	21375	护肩定力雕纹7级
388	30110388	49760	护肩定力雕纹8级
389	30110389	122840	护肩定力雕纹9级
390	30110390	247790	护肩定力雕纹10级
391	30110391	480	护肩身法雕纹1级
392	30110392	550	护肩身法雕纹2级
393	30110393	865	护肩身法雕纹3级
394	30110394	2615	护肩身法雕纹4级
395	30110395	5660	护肩身法雕纹5级
396	30110396	11435	护肩身法雕纹6级
397	30110397	21375	护肩身法雕纹7级
398	30110398	49760	护肩身法雕纹8级
399	30110399	122840	护肩身法雕纹9级
400	30110400	247790	护肩身法雕纹10级
401	30110401	480	手套体力雕纹1级
402	30110402	550	手套体力雕纹2级
403	30110403	865	手套体力雕纹3级
404	30110404	2615	手套体力雕纹4级
405	30110405	5660	手套体力雕纹5级
406	30110406	11435	手套体力雕纹6级
407	30110407	21375	手套体力雕纹7级
408	30110408	49760	手套体力雕纹8级
409	30110409	122840	手套体力雕纹9级
410	30110410	247790	手套体力雕纹10级
411	30110411	480	护肩体力雕纹1级
412	30110412	550	护肩体力雕纹2级
413	30110413	865	护肩体力雕纹3级
414	30110414	2615	护肩体力雕纹4级
415	30110415	5660	护肩体力雕纹5级
416	30110416	11435	护肩体力雕纹6级
417	30110417	21375	护肩体力雕纹7级
418	30110418	49760	护肩体力雕纹8级
419	30110419	122840	护肩体力雕纹9级
420	30110420	247790	护肩体力雕纹10级
421	30110421	480	暗器力量雕纹1级
422	30110422	550	暗器力量雕纹2级
423	30110423	865	暗器力量雕纹3级
424	30110424	2615	暗器力量雕纹4级
425	30110425	5660	暗器力量雕纹5级
426	30110426	11435	暗器力量雕纹6级
427	30110427	21375	暗器力量雕纹7级
428	30110428	49760	暗器力量雕纹8级
429	30110429	122840	暗器力量雕纹9级
430	30110430	247790	暗器力量雕纹10级
431	30110431	480	暗器灵气雕纹1级
432	30110432	550	暗器灵气雕纹2级
433	30110433	865	暗器灵气雕纹3级
434	30110434	2615	暗器灵气雕纹4级
435	30110435	5660	暗器灵气雕纹5级
436	30110436	11435	暗器灵气雕纹6级
437	30110437	21375	暗器灵气雕纹7级
438	30110438	49760	暗器灵气雕纹8级
439	30110439	122840	暗器灵气雕纹9级
440	30110440	247790	暗器灵气雕纹10级
441	30110441	480	暗器体力雕纹1级
442	30110442	550	暗器体力雕纹2级
443	30110443	865	暗器体力雕纹3级
444	30110444	2615	暗器体力雕纹4级
445	30110445	5660	暗器体力雕纹5级
446	30110446	11435	暗器体力雕纹6级
447	30110447	21375	暗器体力雕纹7级
448	30110448	49760	暗器体力雕纹8级
449	30110449	122840	暗器体力雕纹9级
450	30110450	247790	暗器体力雕纹10级
451	30110451	480	暗器定力雕纹1级
452	30110452	550	暗器定力雕纹2级
453	30110453	865	暗器定力雕纹3级
454	30110454	2615	暗器定力雕纹4级
455	30110455	5660	暗器定力雕纹5级
456	30110456	11435	暗器定力雕纹6级
457	30110457	21375	暗器定力雕纹7级
458	30110458	49760	暗器定力雕纹8级
459	30110459	122840	暗器定力雕纹9级
460	30110460	247790	暗器定力雕纹10级
461	30110461	480	暗器身法雕纹1级
462	30110462	550	暗器身法雕纹2级
463	30110463	865	暗器身法雕纹3级
464	30110464	2615	暗器身法雕纹4级
465	30110465	5660	暗器身法雕纹5级
466	30110466	11435	暗器身法雕纹6级
467	30110467	21375	暗器身法雕纹7级
468	30110468	49760	暗器身法雕纹8级
469	30110469	122840	暗器身法雕纹9级
470	30110470	247790	暗器身法雕纹10级
471	30110471	480	武魂力量雕纹1级
472	30110472	550	武魂力量雕纹2级
473	30110473	865	武魂力量雕纹3级
474	30110474	2615	武魂力量雕纹4级
475	30110475	5660	武魂力量雕纹5级
476	30110476	11435	武魂力量雕纹6级
477	30110477	21375	武魂力量雕纹7级
478	30110478	49760	武魂力量雕纹8级
479	30110479	122840	武魂力量雕纹9级
480	30110480	247790	武魂力量雕纹10级
481	30110481	480	武魂灵气雕纹1级
482	30110482	550	武魂灵气雕纹2级
483	30110483	865	武魂灵气雕纹3级
484	30110484	2615	武魂灵气雕纹4级
485	30110485	5660	武魂灵气雕纹5级
486	30110486	11435	武魂灵气雕纹6级
487	30110487	21375	武魂灵气雕纹7级
488	30110488	49760	武魂灵气雕纹8级
489	30110489	122840	武魂灵气雕纹9级
490	30110490	247790	武魂灵气雕纹10级
491	30110491	480	武魂体力雕纹1级
492	30110492	550	武魂体力雕纹2级
493	30110493	865	武魂体力雕纹3级
494	30110494	2615	武魂体力雕纹4级
495	30110495	5660	武魂体力雕纹5级
496	30110496	11435	武魂体力雕纹6级
497	30110497	21375	武魂体力雕纹7级
498	30110498	49760	武魂体力雕纹8级
499	30110499	122840	武魂体力雕纹9级
500	30110500	247790	武魂体力雕纹10级
501	30110501	480	武魂定力雕纹1级
502	30110502	550	武魂定力雕纹2级
503	30110503	865	武魂定力雕纹3级
504	30110504	2615	武魂定力雕纹4级
505	30110505	5660	武魂定力雕纹5级
506	30110506	11435	武魂定力雕纹6级
507	30110507	21375	武魂定力雕纹7级
508	30110508	49760	武魂定力雕纹8级
509	30110509	122840	武魂定力雕纹9级
510	30110510	247790	武魂定力雕纹10级
511	30110511	480	武魂身法雕纹1级
512	30110512	550	武魂身法雕纹2级
513	30110513	865	武魂身法雕纹3级
514	30110514	2615	武魂身法雕纹4级
515	30110515	5660	武魂身法雕纹5级
516	30110516	11435	武魂身法雕纹6级
517	30110517	21375	武魂身法雕纹7级
518	30110518	49760	武魂身法雕纹8级
519	30110519	122840	武魂身法雕纹9级
520	30110520	247790	武魂身法雕纹10级
521	30110521	480	武魂冰攻雕纹1级
522	30110522	550	武魂冰攻雕纹2级
523	30110523	865	武魂冰攻雕纹3级
524	30110524	2615	武魂冰攻雕纹4级
525	30110525	5660	武魂冰攻雕纹5级
526	30110526	11435	武魂冰攻雕纹6级
527	30110527	21375	武魂冰攻雕纹7级
528	30110528	49760	武魂冰攻雕纹8级
529	30110529	122840	武魂冰攻雕纹9级
530	30110530	247790	武魂冰攻雕纹10级
531	30110531	480	武魂火攻雕纹1级
532	30110532	550	武魂火攻雕纹2级
533	30110533	865	武魂火攻雕纹3级
534	30110534	2615	武魂火攻雕纹4级
535	30110535	5660	武魂火攻雕纹5级
536	30110536	11435	武魂火攻雕纹6级
537	30110537	21375	武魂火攻雕纹7级
538	30110538	49760	武魂火攻雕纹8级
539	30110539	122840	武魂火攻雕纹9级
540	30110540	247790	武魂火攻雕纹10级
541	30110541	480	武魂玄攻雕纹1级
542	30110542	550	武魂玄攻雕纹2级
543	30110543	865	武魂玄攻雕纹3级
544	30110544	2615	武魂玄攻雕纹4级
545	30110545	5660	武魂玄攻雕纹5级
546	30110546	11435	武魂玄攻雕纹6级
547	30110547	21375	武魂玄攻雕纹7级
548	30110548	49760	武魂玄攻雕纹8级
549	30110549	122840	武魂玄攻雕纹9级
550	30110550	247790	武魂玄攻雕纹10级
551	30110551	480	武魂毒攻雕纹1级
552	30110552	550	武魂毒攻雕纹2级
553	30110553	865	武魂毒攻雕纹3级
554	30110554	2615	武魂毒攻雕纹4级
555	30110555	5660	武魂毒攻雕纹5级
556	30110556	11435	武魂毒攻雕纹6级
557	30110557	21375	武魂毒攻雕纹7级
558	30110558	49760	武魂毒攻雕纹8级
559	30110559	122840	武魂毒攻雕纹9级
560	30110560	247790	武魂毒攻雕纹10级
561	30110561	480	龙纹力量雕纹1级
562	30110562	550	龙纹力量雕纹2级
563	30110563	865	龙纹力量雕纹3级
564	30110564	2615	龙纹力量雕纹4级
565	30110565	5660	龙纹力量雕纹5级
566	30110566	11435	龙纹力量雕纹6级
567	30110567	21375	龙纹力量雕纹7级
568	30110568	49760	龙纹力量雕纹8级
569	30110569	122840	龙纹力量雕纹9级
570	30110570	247790	龙纹力量雕纹10级
571	30110571	480	龙纹灵气雕纹1级
572	30110572	550	龙纹灵气雕纹2级
573	30110573	865	龙纹灵气雕纹3级
574	30110574	2615	龙纹灵气雕纹4级
575	30110575	5660	龙纹灵气雕纹5级
576	30110576	11435	龙纹灵气雕纹6级
577	30110577	21375	龙纹灵气雕纹7级
578	30110578	49760	龙纹灵气雕纹8级
579	30110579	122840	龙纹灵气雕纹9级
580	30110580	247790	龙纹灵气雕纹10级
581	30110581	480	龙纹体力雕纹1级
582	30110582	550	龙纹体力雕纹2级
583	30110583	865	龙纹体力雕纹3级
584	30110584	2615	龙纹体力雕纹4级
585	30110585	5660	龙纹体力雕纹5级
586	30110586	11435	龙纹体力雕纹6级
587	30110587	21375	龙纹体力雕纹7级
588	30110588	49760	龙纹体力雕纹8级
589	30110589	122840	龙纹体力雕纹9级
590	30110590	247790	龙纹体力雕纹10级
591	30110591	480	龙纹定力雕纹1级
592	30110592	550	龙纹定力雕纹2级
593	30110593	865	龙纹定力雕纹3级
594	30110594	2615	龙纹定力雕纹4级
595	30110595	5660	龙纹定力雕纹5级
596	30110596	11435	龙纹定力雕纹6级
597	30110597	21375	龙纹定力雕纹7级
598	30110598	49760	龙纹定力雕纹8级
599	30110599	122840	龙纹定力雕纹9级
600	30110600	247790	龙纹定力雕纹10级
601	30110601	480	龙纹身法雕纹1级
602	30110602	550	龙纹身法雕纹2级
603	30110603	865	龙纹身法雕纹3级
604	30110604	2615	龙纹身法雕纹4级
605	30110605	5660	龙纹身法雕纹5级
606	30110606	11435	龙纹身法雕纹6级
607	30110607	21375	龙纹身法雕纹7级
608	30110608	49760	龙纹身法雕纹8级
609	30110609	122840	龙纹身法雕纹9级
610	30110610	247790	龙纹身法雕纹10级
611	30110611	480	龙纹冰攻雕纹1级
612	30110612	550	龙纹冰攻雕纹2级
613	30110613	865	龙纹冰攻雕纹3级
614	30110614	2615	龙纹冰攻雕纹4级
615	30110615	5660	龙纹冰攻雕纹5级
616	30110616	11435	龙纹冰攻雕纹6级
617	30110617	21375	龙纹冰攻雕纹7级
618	30110618	49760	龙纹冰攻雕纹8级
619	30110619	122840	龙纹冰攻雕纹9级
620	30110620	247790	龙纹冰攻雕纹10级
621	30110621	480	龙纹火攻雕纹1级
622	30110622	550	龙纹火攻雕纹2级
623	30110623	865	龙纹火攻雕纹3级
624	30110624	2615	龙纹火攻雕纹4级
625	30110625	5660	龙纹火攻雕纹5级
626	30110626	11435	龙纹火攻雕纹6级
627	30110627	21375	龙纹火攻雕纹7级
628	30110628	49760	龙纹火攻雕纹8级
629	30110629	122840	龙纹火攻雕纹9级
630	30110630	247790	龙纹火攻雕纹10级
631	30110631	480	龙纹玄攻雕纹1级
632	30110632	550	龙纹玄攻雕纹2级
633	30110633	865	龙纹玄攻雕纹3级
634	30110634	2615	龙纹玄攻雕纹4级
635	30110635	5660	龙纹玄攻雕纹5级
636	30110636	11435	龙纹玄攻雕纹6级
637	30110637	21375	龙纹玄攻雕纹7级
638	30110638	49760	龙纹玄攻雕纹8级
639	30110639	122840	龙纹玄攻雕纹9级
640	30110640	247790	龙纹玄攻雕纹10级
641	30110641	480	龙纹毒攻雕纹1级
642	30110642	550	龙纹毒攻雕纹2级
643	30110643	865	龙纹毒攻雕纹3级
644	30110644	2615	龙纹毒攻雕纹4级
645	30110645	5660	龙纹毒攻雕纹5级
646	30110646	11435	龙纹毒攻雕纹6级
647	30110647	21375	龙纹毒攻雕纹7级
648	30110648	49760	龙纹毒攻雕纹8级
649	30110649	122840	龙纹毒攻雕纹9级
650	30110650	247790	龙纹毒攻雕纹10级
651	30110651	480	暗器冰攻雕纹1级
652	30110652	550	暗器冰攻雕纹2级
