INT	INT	INT	INT	INT	INT	STRING
1	30309050	3489	1	0	0	ÕäÊÞµ°£ºÑ©ºü
1	30309051	3499	1	0	0	ÕäÊÞµ°£ºÀÇ
2	30309052	8709	0	1	44	ÉñµÑ£ºÕäÆæÊó
2	30309052	8719	0	45	54	ÉñµÑ£ºÕäÆæÊó
2	30309052	8729	0	55	64	ÉñµÑ£ºÕäÆæÊó
2	30309052	8679	0	65	255	ÉñµÑ£ºÕäÆæÊó
1	30309053	8689	1	0	0	÷è÷ëµ°
1	30309054	8189	1	0	0	ÕäÊÞµ°£ºÀ×÷ë
1	30309055	3299	1	0	0	ÕäÊÞµ°£º³û·ï
1	30309056	3159	1	0	0	ÕäÊÞµ°£ºÀÏ»¢
1	30309057	22569	1	0	0	ÕäÊÞµ°£ºÉñÔ³
1	30309058	22579	1	0	0	ÕäÊÞµ°£ºÉñÔ³
1	30309059	22589	1	0	0	ÕäÊÞµ°£ºÑÒ»ê
1	30309060	22599	1	0	0	ÕäÊÞµ°£ºÑÒ»ê
1	30309061	22609	1	0	0	ÕäÊÞµ°£ºÑÒ»ê
1	30309062	22619	1	0	0	ÕäÊÞµ°£ºÑÒ»ê
1	30309063	22629	1	0	0	ÕäÊÞµ°£ºÑÒ»ê
1	30309064	22639	1	0	0	ÕäÊÞµ°£ºÑÒ»ê
1	30309065	22649	1	0	0	ÕäÊÞµ°£ºÑÒ»ê
2	30309066	8569	0	1	44	ÕäÊÞµ°£º»¶ÀÖÖí
2	30309066	8579	0	45	54	ÕäÊÞµ°£º»¶ÀÖÖí
2	30309066	8589	0	55	64	ÕäÊÞµ°£º»¶ÀÖÖí
2	30309066	8599	0	65	74	ÕäÊÞµ°£º»¶ÀÖÖí
2	30309066	8609	0	75	84	ÕäÊÞµ°£º»¶ÀÖÖí
2	30309066	8619	0	85	94	ÕäÊÞµ°£º»¶ÀÖÖí
2	30309066	8629	0	95	255	ÕäÊÞµ°£º»¶ÀÖÖí
2	30309067	22799	0	1	44	ÕäÊÞµ°£ºÁéÍÃÊÞ
2	30309067	22809	0	45	54	ÕäÊÞµ°£ºÁéÍÃÊÞ
2	30309067	22819	0	55	64	ÕäÊÞµ°£ºÁéÍÃÊÞ
2	30309067	22829	0	65	74	ÕäÊÞµ°£ºÁéÍÃÊÞ
2	30309067	22839	0	75	84	ÕäÊÞµ°£ºÁéÍÃÊÞ
2	30309067	22849	0	85	94	ÕäÊÞµ°£ºÁéÍÃÊÞ
2	30309067	22859	0	95	255	ÕäÊÞµ°£ºÁéÍÃÊÞ
1	30309068	23339	1	0	0	ÕäÊÞµ°£ºÓ×³ÝÁú
1	30309069	23349	1	0	0	ÕäÊÞµ°£ºÓ×³ÝÁú
1	30309070	23359	1	0	0	ÕäÊÞµ°£ºÓ×³ÝÁú
1	30309071	23369	1	0	0	ÕäÊÞµ°£ºÓ×³ÝÁú
1	30309072	23379	1	0	0	ÕäÊÞµ°£ºÓ×³ÝÁú
1	30309073	23389	1	0	0	ÕäÊÞµ°£ºÓ×³ÝÁú
1	30309074	23399	1	0	0	ÕäÊÞµ°£ºÓ×³ÝÁú
2	30309075	23339	0	1	44	ÕäÊÞµ°£ºÓ×³ÝÁú
2	30309075	23349	0	45	54	ÕäÊÞµ°£ºÓ×³ÝÁú
2	30309075	23359	0	55	64	ÕäÊÞµ°£ºÓ×³ÝÁú
2	30309075	23369	0	65	74	ÕäÊÞµ°£ºÓ×³ÝÁú
2	30309075	23379	0	75	84	ÕäÊÞµ°£ºÓ×³ÝÁú
2	30309075	23389	0	85	94	ÕäÊÞµ°£ºÓ×³ÝÁú
2	30309075	23399	0	95	255	ÕäÊÞµ°£ºÓ×³ÝÁú
1	30309077	23979	1	0	0	ÕäÊÞµ°£ºÆßÇÉÀêÃ¨
1	30309078	24609	1	0	0	ÕäÊÞµ°£ºÏÁÂ··ê
1	30309079	24619	1	0	0	ÕäÊÞµ°£ºÏÁÂ··ê
1	30309080	24629	1	0	0	ÕäÊÞµ°£ºÏÁÂ··ê
1	30309081	24639	1	0	0	ÕäÊÞµ°£ºÏÁÂ··ê
1	30309082	24649	1	0	0	ÕäÊÞµ°£ºÏÁÂ··ê
1	30309083	24658	1	0	0	ÕäÊÞµ°£ºÏÁÂ··ê
1	30309084	6649	1	0	0	ÕäÊÞµ°£ºÓñÍÃ
1	30309085	24599	1	0	0	ÕäÊÞµ°£ºÏÁÂ··ê
1	30309089	24679	1	0	0	ÕäÊÞµ°£º°²ç÷¶ù
1	30309090	24689	1	0	0	ÕäÊÞµ°£º°²ç÷¶ù
1	30309091	24699	1	0	0	ÕäÊÞµ°£º°²ç÷¶ù
1	30309092	24709	1	0	0	ÕäÊÞµ°£º°²ç÷¶ù
1	30309093	24719	1	0	0	ÕäÊÞµ°£º°²ç÷¶ù
1	30309094	24729	1	0	0	ÕäÊÞµ°£º°²ç÷¶ù
1	30309095	24739	1	0	0	ÕäÊÞµ°£º°²ç÷¶ù
1	30309531	30039	1	0	0	ÕäÊÞµ°£ºÍ¨±ÛÔ³ºï
1	30309600	7649	1	0	0	ÕäÊÞµ°£ºÁúÃ¨
1	30309601	7659	1	0	0	ÕäÊÞµ°£ºÁúÃ¨
1	30309602	7669	1	0	0	ÕäÊÞµ°£ºÁúÃ¨
1	30309603	7679	1	0	0	ÕäÊÞµ°£ºÁúÃ¨
1	30309604	7689	1	0	0	ÕäÊÞµ°£ºÁúÃ¨
1	30309605	7699	1	0	0	ÕäÊÞµ°£ºÁúÃ¨
1	30309606	7709	1	0	0	ÕäÊÞµ°£ºÁúÃ¨
1	30309607	7789	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨
1	30309608	7799	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨
1	30309609	7809	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨
1	30309610	7819	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨
1	30309611	7829	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨
1	30309612	7839	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨
1	30309613	7849	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨
1	30309614	7929	1	0	0	ÕäÊÞµ°£ººûµû
1	30309615	7939	1	0	0	ÕäÊÞµ°£ººûµû
1	30309616	7949	1	0	0	ÕäÊÞµ°£ººûµû
1	30309617	7959	1	0	0	ÕäÊÞµ°£ººûµû
1	30309618	7969	1	0	0	ÕäÊÞµ°£ººûµû
1	30309619	7979	1	0	0	ÕäÊÞµ°£ººûµû
1	30309620	7989	1	0	0	ÕäÊÞµ°£ººûµû
1	30309621	7999	1	0	0	ÕäÊÞµ°£ºÎÏÅ£
1	30309622	8009	1	0	0	ÕäÊÞµ°£ºÎÏÅ£
1	30309623	8019	1	0	0	ÕäÊÞµ°£ºÎÏÅ£
1	30309624	8029	1	0	0	ÕäÊÞµ°£ºÎÏÅ£
1	30309625	8039	1	0	0	ÕäÊÞµ°£ºÎÏÅ£
1	30309626	8049	1	0	0	ÕäÊÞµ°£ºÎÏÅ£
1	30309627	8059	1	0	0	ÕäÊÞµ°£ºÎÏÅ£
1	30309628	8069	1	0	0	ÕäÊÞµ°£ºÐ«×Ó
1	30309629	8079	1	0	0	ÕäÊÞµ°£ºÐ«×Ó
1	30309630	8089	1	0	0	ÕäÊÞµ°£ºÐ«×Ó
1	30309631	8099	1	0	0	ÕäÊÞµ°£ºÐ«×Ó
1	30309632	8109	1	0	0	ÕäÊÞµ°£ºÐ«×Ó
1	30309633	8119	1	0	0	ÕäÊÞµ°£ºÐ«×Ó
1	30309634	8129	1	0	0	ÕäÊÞµ°£ºÐ«×Ó
1	30309635	7859	1	0	0	ÕäÊÞµ°£ºó¦Ð·
1	30309636	7869	1	0	0	ÕäÊÞµ°£ºó¦Ð·
1	30309637	7879	1	0	0	ÕäÊÞµ°£ºó¦Ð·
1	30309638	7889	1	0	0	ÕäÊÞµ°£ºó¦Ð·
1	30309639	7899	1	0	0	ÕäÊÞµ°£ºó¦Ð·
1	30309640	7909	1	0	0	ÕäÊÞµ°£ºó¦Ð·
1	30309641	7919	1	0	0	ÕäÊÞµ°£ºó¦Ð·
1	30309642	7719	1	0	0	ÕäÊÞµ°£ºÏ¬Äñ
1	30309643	7729	1	0	0	ÕäÊÞµ°£ºÏ¬Äñ
1	30309644	7739	1	0	0	ÕäÊÞµ°£ºÏ¬Äñ
1	30309645	7749	1	0	0	ÕäÊÞµ°£ºÏ¬Äñ
1	30309646	7759	1	0	0	ÕäÊÞµ°£ºÏ¬Äñ
1	30309647	7769	1	0	0	ÕäÊÞµ°£ºÏ¬Äñ
1	30309648	7779	1	0	0	ÕäÊÞµ°£ºÏ¬Äñ
1	30309649	7509	1	0	0	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309650	7519	1	0	0	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309651	7529	1	0	0	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309652	7539	1	0	0	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309653	7549	1	0	0	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309654	7559	1	0	0	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309655	7569	1	0	0	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309656	7579	1	0	0	ÕäÊÞµ°£ºÑ©ºü
1	30309657	7589	1	0	0	ÕäÊÞµ°£ºÑ©ºü
1	30309658	7599	1	0	0	ÕäÊÞµ°£ºÑ©ºü
1	30309659	7609	1	0	0	ÕäÊÞµ°£ºÑ©ºü
1	30309660	7619	1	0	0	ÕäÊÞµ°£ºÑ©ºü
1	30309661	7629	1	0	0	ÕäÊÞµ°£ºÑ©ºü
1	30309662	7639	1	0	0	ÕäÊÞµ°£ºÑ©ºü
1	30309663	8139	1	0	0	ÕäÊÞµ°£º´©É½¼×
1	30309664	8149	1	0	0	ÕäÊÞµ°£º´©É½¼×
1	30309665	8159	1	0	0	ÕäÊÞµ°£º´©É½¼×
1	30309666	8169	1	0	0	ÕäÊÞµ°£º´©É½¼×
1	30309667	8179	1	0	0	ÕäÊÞµ°£º´©É½¼×
1	30309668	8189	1	0	0	ÕäÊÞµ°£ºÀ×÷ë
1	30309669	8199	1	0	0	ÕäÊÞµ°£º´©É½¼×
1	30309670	8209	1	0	0	ÕäÊÞµ°£º´ó¼×³æ
1	30309671	8219	1	0	0	ÕäÊÞµ°£º´ó¼×³æ
1	30309672	8229	1	0	0	ÕäÊÞµ°£º´ó¼×³æ
1	30309673	8239	1	0	0	ÕäÊÞµ°£º´ó¼×³æ
1	30309674	8249	1	0	0	ÕäÊÞµ°£º´ó¼×³æ
1	30309675	8259	1	0	0	ÕäÊÞµ°£º´ó¼×³æ
1	30309676	8269	1	0	0	ÕäÊÞµ°£º´ó¼×³æ
1	30309677	8279	1	0	0	ÕäÊÞµ°£ºµ±ìè
1	30309678	8289	1	0	0	ÕäÊÞµ°£ºµ±ìè
1	30309679	8299	1	0	0	ÕäÊÞµ°£ºµ±ìè
1	30309680	8309	1	0	0	ÕäÊÞµ°£ºµ±ìè
1	30309681	8319	1	0	0	ÕäÊÞµ°£ºµ±ìè
1	30309682	8329	1	0	0	ÕäÊÞµ°£ºµ±ìè
1	30309683	8339	1	0	0	ÕäÊÞµ°£ºµ±ìè
1	30309684	8349	1	0	0	ÕäÊÞµ°£ºº£µÁÊó
1	30309685	8359	1	0	0	ÕäÊÞµ°£ºº£µÁÊó
1	30309686	8369	1	0	0	ÕäÊÞµ°£ºº£µÁÊó
1	30309687	8379	1	0	0	ÕäÊÞµ°£ºº£µÁÊó
1	30309688	8389	1	0	0	ÕäÊÞµ°£ºº£µÁÊó
1	30309689	8399	1	0	0	ÕäÊÞµ°£ºº£µÁÊó
1	30309690	8409	1	0	0	ÕäÊÞµ°£ºº£µÁÊó
1	30309691	8419	1	0	0	ÕäÊÞµ°£º±¦ÏäÍ¯×Ó
1	30309692	8429	1	0	0	ÕäÊÞµ°£º±¦ÏäÍ¯×Ó
1	30309693	8439	1	0	0	ÕäÊÞµ°£º±¦ÏäÍ¯×Ó
1	30309694	8449	1	0	0	ÕäÊÞµ°£º±¦ÏäÍ¯×Ó
1	30309695	8459	1	0	0	ÕäÊÞµ°£º±¦ÏäÍ¯×Ó
1	30309696	8469	1	0	0	ÕäÊÞµ°£º±¦ÏäÍ¯×Ó
1	30309697	8479	1	0	0	ÕäÊÞµ°£º±¦ÏäÍ¯×Ó
1	30309698	8489	1	0	0	ÕäÊÞµ°£ºÊ÷´üÐÜ
1	30309699	8499	1	0	0	ÕäÊÞµ°£ºÊ÷´üÐÜ
1	30309700	8509	1	0	0	ÕäÊÞµ°£ºÊ÷´üÐÜ
1	30309701	8519	1	0	0	ÕäÊÞµ°£ºÊ÷´üÐÜ
1	30309702	8529	1	0	0	ÕäÊÞµ°£ºÊ÷´üÐÜ
1	30309703	8539	1	0	0	ÕäÊÞµ°£ºÊ÷´üÐÜ
1	30309704	8549	1	0	0	ÕäÊÞµ°£ºÊ÷´üÐÜ
1	30309705	8569	1	0	0	ÕäÊÞµ°£º»¶ÀÖÖí
1	30309706	8579	1	0	0	ÕäÊÞµ°£º»¶ÀÖÖí
1	30309707	8589	1	0	0	ÕäÊÞµ°£º»¶ÀÖÖí
1	30309708	8599	1	0	0	ÕäÊÞµ°£º»¶ÀÖÖí
1	30309709	8609	1	0	0	ÕäÊÞµ°£º»¶ÀÖÖí
1	30309710	8619	1	0	0	ÕäÊÞµ°£º»¶ÀÖÖí
1	30309711	8629	1	0	0	ÕäÊÞµ°£º»¶ÀÖÖí
1	30309712	8749	1	0	0	ÕäÊÞµ°£ºÌÆ×°Êó
1	30309713	8759	1	0	0	ÕäÊÞµ°£ºÌÆ×°Êó
1	30309714	8769	1	0	0	ÕäÊÞµ°£ºÌÆ×°Êó
1	30309715	8779	1	0	0	ÕäÊÞµ°£ºÌÆ×°Êó
1	30309716	8789	1	0	0	ÕäÊÞµ°£ºÌÆ×°Êó
1	30309717	8799	1	0	0	ÕäÊÞµ°£ºÌÆ×°Êó
1	30309718	8809	1	0	0	ÕäÊÞµ°£ºÌÆ×°Êó
1	30309719	8819	1	0	0	ÕäÊÞµ°£ºÄêÊÞ
1	30309720	8829	1	0	0	ÕäÊÞµ°£ºÄêÊÞ
1	30309721	8839	1	0	0	ÕäÊÞµ°£ºÄêÊÞ
1	30309722	8849	1	0	0	ÕäÊÞµ°£ºÄêÊÞ
1	30309723	8859	1	0	0	ÕäÊÞµ°£ºÄêÊÞ
1	30309724	8869	1	0	0	ÕäÊÞµ°£ºÄêÊÞ
1	30309725	8879	1	0	0	ÕäÊÞµ°£ºÄêÊÞ
1	30309726	8889	1	0	0	ÕäÊÞµ°£ºÔ§Ñì
1	30309727	8899	1	0	0	ÕäÊÞµ°£ºÔ§Ñì
1	30309728	8909	1	0	0	ÕäÊÞµ°£ºÔ§Ñì
1	30309729	8919	1	0	0	ÕäÊÞµ°£ºÔ§Ñì
1	30309730	8929	1	0	0	ÕäÊÞµ°£ºÔ§Ñì
1	30309731	8939	1	0	0	ÕäÊÞµ°£ºÔ§Ñì
1	30309732	8949	1	0	0	ÕäÊÞµ°£ºÔ§Ñì
1	30309733	22059	1	0	0	ÕäÊÞµ°£ºÇîÆæ
1	30309734	22129	1	0	0	ÕäÊÞµ°£ºÐ¡ºüÏÉ
1	30309735	22140	1	0	0	ÕäÊÞµ°£º¸Ö¸«ÉñÔ³
1	30309736	22150	1	0	0	ÕäÊÞµ°£º´ÔÁÖÉñÔ³
1	30309737	22160	1	0	0	ÕäÊÞµ°£ºµØÓüÉñÔ³
1	30309738	22170	1	0	0	ÕäÊÞµ°£º÷ÈÁéÉñÔ³
1	30309739	22180	1	0	0	ÕäÊÞµ°£ºÂÞººÉñÔ³
1	30309740	22190	1	0	0	ÕäÊÞµ°£ºÉÏ¹ÅÉñÔ³
1	30309741	22219	1	0	0	ÕäÊÞµ°£º±ÈÒíÄñ
1	30309742	22229	1	0	0	ÕäÊÞµ°£º±ÈÒíÄñ
1	30309743	22239	1	0	0	ÕäÊÞµ°£º±ÈÒíÄñ
1	30309744	22249	1	0	0	ÕäÊÞµ°£º±ÈÒíÄñ
1	30309745	22259	1	0	0	ÕäÊÞµ°£º±ÈÒíÄñ
1	30309746	22269	1	0	0	ÕäÊÞµ°£º±ÈÒíÄñ
1	30309747	22279	1	0	0	ÕäÊÞµ°£º±ÈÒíÄñ
1	30309748	22289	1	0	0	ÕäÊÞµ°£º´ô´ôÅ£
1	30309749	22299	1	0	0	ÕäÊÞµ°£º´ô´ôÅ£
1	30309750	22309	1	0	0	ÕäÊÞµ°£º´ô´ôÅ£
1	30309751	22319	1	0	0	ÕäÊÞµ°£º´ô´ôÅ£
1	30309752	22329	1	0	0	ÕäÊÞµ°£º´ô´ôÅ£
1	30309753	22339	1	0	0	ÕäÊÞµ°£º´ô´ôÅ£
1	30309754	22349	1	0	0	ÕäÊÞµ°£º´ô´ôÅ£
2	30309755	22359	0	1	44	ÕäÊÞµ°£ºÕäÆæÅ£
2	30309755	22369	0	45	54	ÕäÊÞµ°£ºÕäÆæÅ£
2	30309755	22379	0	55	64	ÕäÊÞµ°£ºÕäÆæÅ£
2	30309755	22389	0	65	74	ÕäÊÞµ°£ºÕäÆæÅ£
2	30309755	22399	0	75	84	ÕäÊÞµ°£ºÕäÆæÅ£
2	30309755	22409	0	85	255	ÕäÊÞµ°£ºÕäÆæÅ£
1	30309756	22489	1	0	0	ÕäÊÞµ°£º÷è÷ë
2	30309757	22289	0	1	44	ÕäÊÞµ°£º´ô´ôÅ£
2	30309757	22299	0	45	54	ÕäÊÞµ°£º´ô´ôÅ£
2	30309757	22309	0	55	64	ÕäÊÞµ°£º´ô´ôÅ£
2	30309757	22319	0	65	74	ÕäÊÞµ°£º´ô´ôÅ£
2	30309757	22329	0	75	84	ÕäÊÞµ°£º´ô´ôÅ£
2	30309757	22339	0	85	94	ÕäÊÞµ°£º´ô´ôÅ£
2	30309757	22349	0	95	255	ÕäÊÞµ°£º´ô´ôÅ£
1	30309765	22799	1	0	0	ÕäÊÞµ°£ºÁéÍÃÊÞ
1	30309766	22809	1	0	0	ÕäÊÞµ°£ºÁéÍÃÊÞ
1	30309767	22819	1	0	0	ÕäÊÞµ°£ºÁéÍÃÊÞ
1	30309768	22829	1	0	0	ÕäÊÞµ°£ºÁéÍÃÊÞ
1	30309769	22839	1	0	0	ÕäÊÞµ°£ºÁéÍÃÊÞ
1	30309770	22849	1	0	0	ÕäÊÞµ°£ºÁéÍÃÊÞ
1	30309771	22859	1	0	0	ÕäÊÞµ°£ºÁéÍÃÊÞ
1	30309772	22729	1	0	0	ÕäÊÞµ°£º·Ï²ñ
1	30309773	22739	1	0	0	ÕäÊÞµ°£º·Ï²ñ
1	30309774	22749	1	0	0	ÕäÊÞµ°£º·Ï²ñ
1	30309775	22759	1	0	0	ÕäÊÞµ°£º·Ï²ñ
1	30309776	22769	1	0	0	ÕäÊÞµ°£º·Ï²ñ
1	30309777	22779	1	0	0	ÕäÊÞµ°£º·Ï²ñ
1	30309778	22789	1	0	0	ÕäÊÞµ°£º·Ï²ñ
1	30309779	3001	1	0	0	ÕäÊÞµ°£º±äÒìÍÃ×Ó
1	30309780	3011	1	0	0	ÕäÊÞµ°£º±äÒìÑà×Ó
1	30309781	3021	1	0	0	ÕäÊÞµ°£º±äÒìÎÚ¹ê
1	30309782	3031	1	0	0	ÕäÊÞµ°£º±äÒì¹·
1	30309783	3041	1	0	0	ÕäÊÞµ°£º±äÒì´Ìâ¬
1	30309784	3051	1	0	0	ÕäÊÞµ°£º±äÒìºï×Ó
1	30309785	3061	1	0	0	ÕäÊÞµ°£º±äÒìËÉÊó
1	30309786	3071	1	0	0	ÕäÊÞµ°£º±äÒìä½ÐÜ
1	30309787	3081	1	0	0	ÕäÊÞµ°£º±äÒìðÐðÄ
1	30309805	23019	1	0	0	ÉñÃØÕäÊÞµ°
1	30309806	23029	1	0	0	ÉñÃØÕäÊÞµ°
1	30309807	23039	1	0	0	ÉñÃØÕäÊÞµ°
1	30309808	22949	1	0	0	ÕäÊÞµ°£ºÏãÌð»ð¼¦
1	30309809	22959	1	0	0	ÕäÊÞµ°£º´×½·»ð¼¦
1	30309810	22969	1	0	0	ÕäÊÞµ°£º·¬ÇÑ»ð¼¦
1	30309811	22979	1	0	0	ÕäÊÞµ°£ºÀ¶Ý®»ð¼¦
1	30309812	22989	1	0	0	ÕäÊÞµ°£ºËâÄà»ð¼¦
1	30309813	22999	1	0	0	ÕäÊÞµ°£º¿§à¬»ð¼¦
1	30309814	23009	1	0	0	ÕäÊÞµ°£ºÄÌÓÍ»ð¼¦
2	30309815	23189	0	1	44	ÕäÊÞµ°£ºÕäÆæ»¢
2	30309815	23199	0	45	54	ÕäÊÞµ°£ºÕäÆæ»¢
2	30309815	23209	0	55	64	ÕäÊÞµ°£ºÕäÆæ»¢
2	30309815	23219	0	65	74	ÕäÊÞµ°£ºÕäÆæ»¢
2	30309815	23229	0	75	84	ÕäÊÞµ°£ºÕäÆæ»¢
2	30309815	23239	0	85	94	ÕäÊÞµ°£ºÕäÆæ»¢
2	30309815	23249	0	95	255	ÕäÊÞµ°£ºÕäÆæ»¢
1	30309816	23259	1	0	0	ÕäÊÞµ°£º²¼ÀÏ»¢
1	30309817	23269	1	0	0	ÕäÊÞµ°£º²¼ÀÏ»¢
1	30309818	23279	1	0	0	ÕäÊÞµ°£º²¼ÀÏ»¢
1	30309819	23289	1	0	0	ÕäÊÞµ°£º²¼ÀÏ»¢
1	30309820	23299	1	0	0	ÕäÊÞµ°£º²¼ÀÏ»¢
1	30309821	23309	1	0	0	ÕäÊÞµ°£º²¼ÀÏ»¢
1	30309822	23319	1	0	0	ÕäÊÞµ°£º²¼ÀÏ»¢
1	30309827	23119	1	0	0	ÕäÊÞµ°£ºÑ±Â¹
1	30309828	23129	1	0	0	ÕäÊÞµ°£ºÑ±Â¹
1	30309829	23139	1	0	0	ÕäÊÞµ°£ºÑ±Â¹
1	30309830	23149	1	0	0	ÕäÊÞµ°£ºÑ±Â¹
1	30309831	23159	1	0	0	ÕäÊÞµ°£ºÑ±Â¹
1	30309832	23169	1	0	0	ÕäÊÞµ°£ºÑ±Â¹
1	30309833	23179	1	0	0	ÕäÊÞµ°£ºÑ±Â¹
1	30309837	23409	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨Ë«ÏÀ
1	30309838	23419	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨Ë«ÏÀ
1	30309839	23429	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨Ë«ÏÀ
1	30309840	23439	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨Ë«ÏÀ
1	30309841	23449	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨Ë«ÏÀ
1	30309842	23459	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨Ë«ÏÀ
1	30309843	23469	1	0	0	ÕäÊÞµ°£ºÐÜÃ¨Ë«ÏÀ
2	30309844	7509	0	1	44	ÕäÊÞµ°£ºÑ¼×ìÊÞ
2	30309844	7519	0	45	54	ÕäÊÞµ°£ºÑ¼×ìÊÞ
2	30309844	7529	0	55	64	ÕäÊÞµ°£ºÑ¼×ìÊÞ
2	30309844	7539	0	65	74	ÕäÊÞµ°£ºÑ¼×ìÊÞ
2	30309844	7549	0	75	84	ÕäÊÞµ°£ºÑ¼×ìÊÞ
2	30309844	7559	0	85	94	ÕäÊÞµ°£ºÑ¼×ìÊÞ
2	30309844	7569	0	95	255	ÕäÊÞµ°£ºÑ¼×ìÊÞ
1	30309845	3069	1	0	0	ÕäÊÞµ°£ºËÉÊó
1	30309983	30909	1	0	0	ÕäÊÞµ°£ºÇØÐ¡Å¼
1	30309985	30919	1	0	0	ÕäÊÞµ°£ºÇØÐ¡Å¼
1	30309986	30929	1	0	0	ÕäÊÞµ°£ºÇØÐ¡Å¼
1	30309987	30939	1	0	0	ÕäÊÞµ°£ºÇØÐ¡Å¼
