INT	INT	STRING	INT
501	50621104	黄冥晶石(6级·4级)	155352
502	50621105	黄冥晶石(6级·5级)	191792
503	50621106	黄冥晶石(6级·6级)	340400
504	50621107	黄冥晶石·红利(6级·1级)	146084
505	50621108	黄冥晶石·红利(6级·2级)	146432
506	50621109	黄冥晶石·红利(6级·3级)	148160
507	50621110	黄冥晶石·红利(6级·4级)	155352
508	50621111	黄冥晶石·红利(6级·5级)	191792
509	50621112	黄冥晶石·红利(6级·6级)	340400
510	50621201	蓝冥晶石(6级·1级)	146084
511	50621202	蓝冥晶石(6级·2级)	146432
512	50621203	蓝冥晶石(6级·3级)	148160
513	50621204	蓝冥晶石(6级·4级)	155352
514	50621205	蓝冥晶石(6级·5级)	191792
515	50621206	蓝冥晶石(6级·6级)	340400
516	50621207	蓝冥晶石·红利(6级·1级)	146084
517	50621208	蓝冥晶石·红利(6级·2级)	146432
518	50621209	蓝冥晶石·红利(6级·3级)	148160
519	50621210	蓝冥晶石·红利(6级·4级)	155352
520	50621211	蓝冥晶石·红利(6级·5级)	191792
521	50621212	蓝冥晶石·红利(6级·6级)	340400
522	50621301	红冥晶石(6级·1级)	146084
523	50621302	红冥晶石(6级·2级)	146432
524	50621303	红冥晶石(6级·3级)	148160
525	50621304	红冥晶石(6级·4级)	155352
526	50621305	红冥晶石(6级·5级)	191792
527	50621306	红冥晶石(6级·6级)	340400
528	50621307	红冥晶石·红利(6级·1级)	146084
529	50621308	红冥晶石·红利(6级·2级)	146432
530	50621309	红冥晶石·红利(6级·3级)	148160
531	50621310	红冥晶石·红利(6级·4级)	155352
532	50621311	红冥晶石·红利(6级·5级)	191792
533	50621312	红冥晶石·红利(6级·6级)	340400
534	50621401	绿冥晶石(6级·1级)	146084
535	50621402	绿冥晶石(6级·2级)	146432
536	50621403	绿冥晶石(6级·3级)	148160
537	50621404	绿冥晶石(6级·4级)	155352
538	50621405	绿冥晶石(6级·5级)	191792
539	50621406	绿冥晶石(6级·6级)	340400
540	50621407	绿冥晶石·红利(6级·1级)	146084
541	50621408	绿冥晶石·红利(6级·2级)	146432
542	50621409	绿冥晶石·红利(6级·3级)	148160
543	50621410	绿冥晶石·红利(6级·4级)	155352
544	50621411	绿冥晶石·红利(6级·5级)	191792
545	50621412	绿冥晶石·红利(6级·6级)	340400
546	50626001	黄冥石·分期(6级)	146000
547	50626002	蓝冥石·分期(6级)	146000
548	50626003	红冥石·分期(6级)	146000
549	50626004	绿冥石·分期(6级)	146000
550	50701001	猫眼石(7级)	240398
551	50701002	虎眼石(7级)	240398
552	50701003	猫眼石·红利(7级)	240398
553	50701004	虎眼石·红利(7级)	240398
554	50702001	黄晶石(7级)	240398
555	50702002	蓝晶石(7级)	240398
556	50702003	红晶石(7级)	240398
557	50702004	绿晶石(7级)	240398
558	50702005	纯净黄晶石(7级)	241318
559	50702006	纯净蓝晶石(7级)	241318
560	50702007	纯净红晶石(7级)	241318
561	50702008	纯净绿晶石(7级)	241318
562	50702009	黄晶石·红利(7级)	240398
563	50702010	蓝晶石·红利(7级)	240398
564	50702011	红晶石·红利(7级)	240398
565	50702012	绿晶石·红利(7级)	240398
566	50702013	纯净黄晶石·红利(7级)	241318
567	50702014	纯净蓝晶石·红利(7级)	241318
568	50702015	纯净红晶石·红利(7级)	241318
569	50702016	纯净绿晶石·红利(7级)	241318
570	50703001	紫玉(7级)	240398
571	50703002	紫玉·红利(7级)	240398
572	50704002	变石(7级)	240398
573	50704003	变石·红利(7级)	240398
574	50706001	猫眼石·分期(7级)	240398
575	50706002	虎眼石·分期(7级)	240398
576	50707005	纯净黄晶石·分期(7级)	241318
577	50707006	纯净蓝晶石·分期(7级)	241318
578	50707007	纯净红晶石·分期(7级)	241318
579	50707008	纯净绿晶石·分期(7级)	241318
580	50708001	紫玉·分期(7级)	240398
581	50709002	变石·分期(7级)	240398
582	50711001	石榴石(7级)	240398
583	50711002	尖晶石(7级)	240398
584	50711003	石榴石·红利(7级)	240398
585	50711004	尖晶石·红利(7级)	240398
586	50712001	黄玉(7级)	240398
587	50712002	皓石(7级)	240398
588	50712003	月光石(7级)	240398
589	50712004	碧玺(7级)	240398
590	50712005	纯净黄玉(7级)	241318
591	50712006	纯净皓石(7级)	241318
592	50712007	纯净月光石(7级)	241318
593	50712008	纯净碧玺(7级)	241318
594	50712009	黄玉·红利(7级)	240398
595	50712010	皓石·红利(7级)	240398
596	50712011	月光石·红利(7级)	240398
597	50712012	碧玺·红利(7级)	240398
598	50712013	纯净黄玉·红利(7级)	241318
599	50712014	纯净皓石·红利(7级)	241318
600	50712015	纯净月光石·红利(7级)	241318
601	50712016	纯净碧玺·红利(7级)	241318
602	50713001	黄宝石(7级)	240398
603	50713002	蓝宝石(7级)	240398
604	50713003	绿宝石(7级)	240398
605	50713004	红宝石(7级)	240398
606	50713005	黑宝石(7级)	240398
607	50713006	血精石(7级)	250398
608	50713007	黄宝石·红利(7级)	240398
609	50713008	蓝宝石·红利(7级)	240398
610	50713009	绿宝石·红利(7级)	240398
611	50713010	红宝石·红利(7级)	240398
612	50713011	黑宝石·红利(7级)	240398
613	50713012	血精石·红利(7级)	250398
614	50714001	祖母绿(7级)	240398
615	50714002	祖母绿·红利(7级)	240398
616	50716001	石榴石·分期(7级)	240398
617	50716002	尖晶石·分期(7级)	240398
618	50717005	纯净黄玉·分期(7级)	241318
619	50717006	纯净皓石·分期(7级)	241318
620	50717007	纯净月光石·分期(7级)	241318
621	50717008	纯净碧玺·分期(7级)	241318
622	50718001	黄宝石·分期(7级)	240398
623	50718002	蓝宝石·分期(7级)	240398
624	50718003	绿宝石·分期(7级)	240398
625	50718004	红宝石·分期(7级)	240398
626	50718005	黑宝石·分期(7级)	240398
627	50718006	血精石·分期(7级)	250398
628	50719001	祖母绿·分期(7级)	240398
629	50721001	黄冥石(7级)	730398
630	50721002	蓝冥石(7级)	730398
631	50721003	红冥石(7级)	730398
632	50721004	绿冥石(7级)	730398
633	50721005	黄冥石·红利(7级)	730398
634	50721006	蓝冥石·红利(7级)	730398
635	50721007	红冥石·红利(7级)	730398
636	50721008	绿冥石·红利(7级)	730398
637	50721101	黄冥晶石(7级·1级)	730482
638	50721102	黄冥晶石(7级·2级)	730830
639	50721103	黄冥晶石(7级·3级)	732558
640	50721104	黄冥晶石(7级·4级)	739750
641	50721105	黄冥晶石(7级·5级)	776190
642	50721106	黄冥晶石(7级·6级)	924798
