INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
35	0	36	1000	420	35	195	195	195	195	195	195	302	0
36	0	37	1000	420	36	195	195	195	195	195	195	314	0
37	0	38	1000	420	37	195	195	195	195	195	195	326	0
38	0	39	1000	420	38	195	195	195	195	195	195	338	0
39	0	40	1000	420	39	195	195	195	195	195	195	350	0
40	0	41	1000	420	40	195	195	195	195	195	195	365	0
41	0	42	1000	420	41	195	195	195	195	195	195	380	0
42	0	43	1000	420	42	195	195	195	195	195	195	395	0
43	0	44	1000	420	43	195	195	195	195	195	195	410	0
44	0	45	1000	420	44	195	195	195	195	195	195	425	0
45	0	46	1000	420	45	195	195	195	195	195	195	440	0
46	0	47	1000	420	46	195	195	195	195	195	195	455	0
47	0	48	1000	420	47	195	195	195	195	195	195	470	0
48	0	49	1000	420	48	195	195	195	195	195	195	485	0
49	0	50	1000	400	49	195	195	195	195	195	195	500	0
50	0	51	1000	400	50	195	195	195	195	195	195	518	0
51	0	52	1000	400	51	195	195	195	195	195	195	536	0
52	0	53	1000	400	52	195	195	195	195	195	195	554	0
53	0	54	1000	400	53	195	195	195	195	195	195	572	0
54	0	55	1000	400	54	195	195	195	195	195	195	590	0
55	0	56	1000	400	55	195	195	195	195	195	195	608	0
56	0	57	1000	400	56	195	195	195	195	195	195	626	0
57	0	58	1000	400	57	195	195	195	195	195	195	644	0
58	0	59	1000	400	58	195	195	195	195	195	195	662	0
59	0	60	1000	400	59	195	195	195	195	195	195	680	0
60	0	61	1000	350	60	195	195	195	195	195	195	700	0
61	0	62	1000	350	61	195	195	195	195	195	195	720	0
62	0	63	1000	350	62	195	195	195	195	195	195	740	0
63	0	64	1000	350	63	195	195	195	195	195	195	760	0
64	0	65	1000	350	64	195	195	195	195	195	195	780	0
65	0	66	1000	350	65	195	195	195	195	195	195	800	0
66	0	67	1000	350	66	195	195	195	195	195	195	820	0
67	0	68	1000	350	67	195	195	195	195	195	195	840	0
68	0	69	1000	350	68	195	195	195	195	195	195	860	0
69	0	70	1000	350	69	195	195	195	195	195	195	880	0
70	0	71	1000	250	70	195	195	195	195	195	195	902	0
71	0	72	1000	250	71	195	195	195	195	195	195	924	0
72	0	73	1000	250	72	195	195	195	195	195	195	946	0
73	0	74	1000	250	73	195	195	195	195	195	195	968	0
74	0	75	1000	250	74	195	195	195	195	195	195	990	0
75	0	76	1000	250	75	195	195	195	195	195	195	1012	0
76	0	77	1000	250	76	195	195	195	195	195	195	1034	0
77	0	78	1000	250	77	195	195	195	195	195	195	1056	0
78	0	79	1000	250	78	195	195	195	195	195	195	1078	0
79	0	80	1000	250	79	195	195	195	195	195	195	1100	0
80	0	81	1000	250	80	195	195	195	195	195	195	1125	0
81	0	82	1000	200	81	195	195	195	195	195	195	1150	0
82	0	83	1000	200	82	195	195	195	195	195	195	1175	0
83	0	84	1000	200	83	195	195	195	195	195	195	1200	0
84	0	85	1000	200	84	195	195	195	195	195	195	1225	0
85	0	86	1000	200	85	195	195	195	195	195	195	1250	0
86	0	87	1000	200	86	195	195	195	195	195	195	1275	0
87	0	88	1000	200	87	195	195	195	195	195	195	1300	0
88	0	89	1000	200	88	195	195	195	195	195	195	1325	0
89	0	90	1000	100	89	195	195	195	195	195	195	1350	0
90	0	91	1000	100	90	195	195	195	195	195	195	1380	0
91	0	92	1000	100	91	195	195	195	195	195	195	1410	0
92	0	93	1000	100	92	195	195	195	195	195	195	1440	0
93	0	94	1000	100	93	195	195	195	195	195	195	1470	0
94	0	95	1000	100	94	195	195	195	195	195	195	1500	0
95	0	96	1000	100	95	195	195	195	195	195	195	1530	0
96	0	97	1000	100	96	195	195	195	195	195	195	1560	0
97	0	98	1000	100	97	195	195	195	195	195	195	1590	0
98	0	99	1000	100	98	195	195	195	195	195	195	1620	0
99	1	1	100	7500	0	20	20	20	20	20	20	0	2
100	1	2	115	6000	1	30	30	30	30	30	30	0	4
101	1	3	132	5000	2	42	42	42	42	42	42	0	6
102	1	4	151	4500	3	60	60	60	60	60	60	0	10
103	1	5	173	3500	4	88	88	88	88	88	88	0	14
104	1	6	199	3000	5	140	140	140	140	140	140	0	20
105	1	7	228	2000	6	186	186	186	186	186	186	0	26
106	1	8	261	1000	7	270	270	270	270	270	270	0	34
107	1	9	300	1000	8	390	390	390	390	390	390	0	42
108	1	10	344	10000	9	390	390	390	390	390	390	0	50
109	1	11	393	8000	10	390	390	390	390	390	390	0	58
110	1	12	447	7900	11	390	390	390	390	390	390	0	66
111	1	13	506	7800	12	390	390	390	390	390	390	0	74
112	1	14	570	7700	13	390	390	390	390	390	390	0	82
113	1	15	639	7600	14	390	390	390	390	390	390	0	90
114	1	16	713	7500	15	390	390	390	390	390	390	0	98
115	1	17	792	7400	16	390	390	390	390	390	390	0	106
116	1	18	876	7300	17	390	390	390	390	390	390	0	114
117	1	19	965	7200	18	390	390	390	390	390	390	0	122
118	1	20	1000	7000	19	390	390	390	390	390	390	0	130
119	1	21	1000	5500	20	390	390	390	390	390	390	0	140
120	1	22	1000	4000	21	390	390	390	390	390	390	0	150
121	1	23	1000	3000	22	390	390	390	390	390	390	0	160
122	1	24	1000	2200	23	390	390	390	390	390	390	0	170
123	1	25	1000	2000	24	390	390	390	390	390	390	0	180
124	1	26	1000	1700	25	390	390	390	390	390	390	0	190
125	1	27	1000	1500	26	390	390	390	390	390	390	0	200
126	1	28	1000	1400	27	390	390	390	390	390	390	0	210
127	1	29	1000	1300	28	390	390	390	390	390	390	0	220
128	1	30	1000	1200	29	390	390	390	390	390	390	0	230
129	1	31	1000	1000	30	390	390	390	390	390	390	0	242
130	1	32	1000	800	31	390	390	390	390	390	390	0	254
131	1	33	1000	700	32	390	390	390	390	390	390	0	266
132	1	34	1000	500	33	390	390	390	390	390	390	0	278
133	1	35	1000	420	34	390	390	390	390	390	390	0	290
134	1	36	1000	420	35	390	390	390	390	390	390	0	302
135	1	37	1000	420	36	390	390	390	390	390	390	0	314
136	1	38	1000	420	37	390	390	390	390	390	390	0	326
137	1	39	1000	420	38	390	390	390	390	390	390	0	338
138	1	40	1000	420	39	390	390	390	390	390	390	0	350
139	1	41	1000	420	40	390	390	390	390	390	390	0	365
140	1	42	1000	420	41	390	390	390	390	390	390	0	380
141	1	43	1000	420	42	390	390	390	390	390	390	0	395
142	1	44	1000	420	43	390	390	390	390	390	390	0	410
143	1	45	1000	420	44	390	390	390	390	390	390	0	425
144	1	46	1000	420	45	390	390	390	390	390	390	0	440
145	1	47	1000	420	46	390	390	390	390	390	390	0	455
146	1	48	1000	420	47	390	390	390	390	390	390	0	470
147	1	49	1000	420	48	390	390	390	390	390	390	0	485
148	1	50	1000	400	49	390	390	390	390	390	390	0	500
149	1	51	1000	400	50	390	390	390	390	390	390	0	518
150	1	52	1000	400	51	390	390	390	390	390	390	0	536
151	1	53	1000	400	52	390	390	390	390	390	390	0	554
152	1	54	1000	400	53	390	390	390	390	390	390	0	572
153	1	55	1000	400	54	390	390	390	390	390	390	0	590
154	1	56	1000	400	55	390	390	390	390	390	390	0	608
155	1	57	1000	400	56	390	390	390	390	390	390	0	626
156	1	58	1000	400	57	390	390	390	390	390	390	0	644
157	1	59	1000	400	58	390	390	390	390	390	390	0	662
158	1	60	1000	400	59	390	390	390	390	390	390	0	680
159	1	61	1000	350	60	390	390	390	390	390	390	0	700
160	1	62	1000	350	61	390	390	390	390	390	390	0	720
161	1	63	1000	350	62	390	390	390	390	390	390	0	740
162	1	64	1000	350	63	390	390	390	390	390	390	0	760
163	1	65	1000	350	64	390	390	390	390	390	390	0	780
164	1	66	1000	350	65	390	390	390	390	390	390	0	800
165	1	67	1000	350	66	390	390	390	390	390	390	0	820
166	1	68	1000	350	67	390	390	390	390	390	390	0	840
167	1	69	1000	350	68	390	390	390	390	390	390	0	860
168	1	70	1000	350	69	390	390	390	390	390	390	0	880
169	1	71	1000	250	70	390	390	390	390	390	390	0	902
170	1	72	1000	250	71	390	390	390	390	390	390	0	924
171	1	73	1000	250	72	390	390	390	390	390	390	0	946
172	1	74	1000	250	73	390	390	390	390	390	390	0	968
173	1	75	1000	250	74	390	390	390	390	390	390	0	990
174	1	76	1000	250	75	390	390	390	390	390	390	0	1012
175	1	77	1000	250	76	390	390	390	390	390	390	0	1034
176	1	78	1000	250	77	390	390	390	390	390	390	0	1056
177	1	79	1000	250	78	390	390	390	390	390	390	0	1078
178	1	80	1000	250	79	390	390	390	390	390	390	0	1100
179	1	81	1000	250	80	390	390	390	390	390	390	0	1125
180	1	82	1000	200	81	390	390	390	390	390	390	0	1150
181	1	83	1000	200	82	390	390	390	390	390	390	0	1175
182	1	84	1000	200	83	390	390	390	390	390	390	0	1200
183	1	85	1000	200	84	390	390	390	390	390	390	0	1225
184	1	86	1000	200	85	390	390	390	390	390	390	0	1250
185	1	87	1000	200	86	390	390	390	390	390	390	0	1275
186	1	88	1000	200	87	390	390	390	390	390	390	0	1300
187	1	89	1000	200	88	390	390	390	390	390	390	0	1325
188	1	90	1000	100	89	390	390	390	390	390	390	0	1350
189	1	91	1000	100	90	390	390	390	390	390	390	0	1380
190	1	92	1000	100	91	390	390	390	390	390	390	0	1410
191	1	93	1000	100	92	390	390	390	390	390	390	0	1440
192	1	94	1000	100	93	390	390	390	390	390	390	0	1470
193	1	95	1000	100	94	390	390	390	390	390	390	0	1500
194	1	96	1000	100	95	390	390	390	390	390	390	0	1530
195	1	97	1000	100	96	390	390	390	390	390	390	0	1560
196	1	98	1000	100	97	390	390	390	390	390	390	0	1590
197	1	99	1000	100	98	390	390	390	390	390	390	0	1620
198	2	1	100	7500	0	10	10	10	10	10	10	0	2
199	2	2	115	6000	1	15	15	15	15	15	15	0	4
200	2	3	132	5000	2	21	21	21	21	21	21	0	6
201	2	4	151	4500	3	30	30	30	30	30	30	0	10
202	2	5	173	3500	4	44	44	44	44	44	44	0	14
203	2	6	199	3000	5	70	70	70	70	70	70	0	20
204	2	7	228	2000	6	93	93	93	93	93	93	0	26
205	2	8	261	1000	7	135	135	135	135	135	135	0	34
206	2	9	300	1000	8	195	195	195	195	195	195	0	42
207	2	10	344	10000	9	195	195	195	195	195	195	0	50
208	2	11	393	8000	10	195	195	195	195	195	195	0	58
209	2	12	447	7900	11	195	195	195	195	195	195	0	66
210	2	13	506	7800	12	195	195	195	195	195	195	0	74
211	2	14	570	7700	13	195	195	195	195	195	195	0	82
212	2	15	639	7600	14	195	195	195	195	195	195	0	90
213	2	16	713	7500	15	195	195	195	195	195	195	0	98
214	2	17	792	7400	16	195	195	195	195	195	195	0	106
215	2	18	876	7300	17	195	195	195	195	195	195	0	114
216	2	19	965	7200	18	195	195	195	195	195	195	0	122
217	2	20	1000	7000	19	195	195	195	195	195	195	0	130
218	2	21	1000	5500	20	195	195	195	195	195	195	0	140
219	2	22	1000	4000	21	195	195	195	195	195	195	0	150
220	2	23	1000	3000	22	195	195	195	195	195	195	0	160
221	2	24	1000	2200	23	195	195	195	195	195	195	0	170
222	2	25	1000	2000	24	195	195	195	195	195	195	0	180
223	2	26	1000	1700	25	195	195	195	195	195	195	0	190
224	2	27	1000	1500	26	195	195	195	195	195	195	0	200
225	2	28	1000	1400	27	195	195	195	195	195	195	0	210
226	2	29	1000	1300	28	195	195	195	195	195	195	0	220
227	2	30	1000	1200	29	195	195	195	195	195	195	0	230
228	2	31	1000	1000	30	195	195	195	195	195	195	0	242
229	2	32	1000	800	31	195	195	195	195	195	195	0	254
230	2	33	1000	700	32	195	195	195	195	195	195	0	266
231	2	34	1000	500	33	195	195	195	195	195	195	0	278
232	2	35	1000	420	34	195	195	195	195	195	195	0	290
233	2	36	1000	420	35	195	195	195	195	195	195	0	302
234	2	37	1000	420	36	195	195	195	195	195	195	0	314
235	2	38	1000	420	37	195	195	195	195	195	195	0	326
236	2	39	1000	420	38	195	195	195	195	195	195	0	338
237	2	40	1000	420	39	195	195	195	195	195	195	0	350
238	2	41	1000	420	40	195	195	195	195	195	195	0	365
239	2	42	1000	420	41	195	195	195	195	195	195	0	380
240	2	43	1000	420	42	195	195	195	195	195	195	0	395
241	2	44	1000	420	43	195	195	195	195	195	195	0	410
242	2	45	1000	420	44	195	195	195	195	195	195	0	425
243	2	46	1000	420	45	195	195	195	195	195	195	0	440
244	2	47	1000	420	46	195	195	195	195	195	195	0	455
245	2	48	1000	420	47	195	195	195	195	195	195	0	470
246	2	49	1000	420	48	195	195	195	195	195	195	0	485
247	2	50	1000	400	49	195	195	195	195	195	195	0	500
248	2	51	1000	400	50	195	195	195	195	195	195	0	518
249	2	52	1000	400	51	195	195	195	195	195	195	0	536
250	2	53	1000	400	52	195	195	195	195	195	195	0	554
251	2	54	1000	400	53	195	195	195	195	195	195	0	572
252	2	55	1000	400	54	195	195	195	195	195	195	0	590
253	2	56	1000	400	55	195	195	195	195	195	195	0	608
254	2	57	1000	400	56	195	195	195	195	195	195	0	626
255	2	58	1000	400	57	195	195	195	195	195	195	0	644
256	2	59	1000	400	58	195	195	195	195	195	195	0	662
257	2	60	1000	400	59	195	195	195	195	195	195	0	680
258	2	61	1000	350	60	195	195	195	195	195	195	0	700
259	2	62	1000	350	61	195	195	195	195	195	195	0	720
260	2	63	1000	350	62	195	195	195	195	195	195	0	740
261	2	64	1000	350	63	195	195	195	195	195	195	0	760
262	2	65	1000	350	64	195	195	195	195	195	195	0	780
263	2	66	1000	350	65	195	195	195	195	195	195	0	800
264	2	67	1000	350	66	195	195	195	195	195	195	0	820
265	2	68	1000	350	67	195	195	195	195	195	195	0	840
266	2	69	1000	350	68	195	195	195	195	195	195	0	860
267	2	70	1000	350	69	195	195	195	195	195	195	0	880
268	2	71	1000	250	70	195	195	195	195	195	195	0	902
269	2	72	1000	250	71	195	195	195	195	195	195	0	924
270	2	73	1000	250	72	195	195	195	195	195	195	0	946
271	2	74	1000	250	73	195	195	195	195	195	195	0	968
272	2	75	1000	250	74	195	195	195	195	195	195	0	990
273	2	76	1000	250	75	195	195	195	195	195	195	0	1012
274	2	77	1000	250	76	195	195	195	195	195	195	0	1034
275	2	78	1000	250	77	195	195	195	195	195	195	0	1056
276	2	79	1000	250	78	195	195	195	195	195	195	0	1078
277	2	80	1000	250	79	195	195	195	195	195	195	0	1100
278	2	81	1000	250	80	195	195	195	195	195	195	0	1125
279	2	82	1000	200	81	195	195	195	195	195	195	0	1150
280	2	83	1000	200	82	195	195	195	195	195	195	0	1175
281	2	84	1000	200	83	195	195	195	195	195	195	0	1200
282	2	85	1000	200	84	195	195	195	195	195	195	0	1225
283	2	86	1000	200	85	195	195	195	195	195	195	0	1250
284	2	87	1000	200	86	195	195	195	195	195	195	0	1275
285	2	88	1000	200	87	195	195	195	195	195	195	0	1300
286	2	89	1000	200	88	195	195	195	195	195	195	0	1325
287	2	90	1000	100	89	195	195	195	195	195	195	0	1350
288	2	91	1000	100	90	195	195	195	195	195	195	0	1380
289	2	92	1000	100	91	195	195	195	195	195	195	0	1410
290	2	93	1000	100	92	195	195	195	195	195	195	0	1440
291	2	94	1000	100	93	195	195	195	195	195	195	0	1470
292	2	95	1000	100	94	195	195	195	195	195	195	0	1500
293	2	96	1000	100	95	195	195	195	195	195	195	0	1530
294	2	97	1000	100	96	195	195	195	195	195	195	0	1560
295	2	98	1000	100	97	195	195	195	195	195	195	0	1590
296	2	99	1000	100	98	195	195	195	195	195	195	0	1620
297	3	1	100	7500	0	20	20	20	20	20	20	0	2
298	3	2	115	6000	1	30	30	30	30	30	30	0	4
299	3	3	132	5000	2	42	42	42	42	42	42	0	6
300	3	4	151	4500	3	60	60	60	60	60	60	0	10
301	3	5	173	3500	4	88	88	88	88	88	88	0	14
302	3	6	199	3000	5	140	140	140	140	140	140	0	20
303	3	7	228	2000	6	186	186	186	186	186	186	0	26
304	3	8	261	1000	7	270	270	270	270	270	270	0	34
305	3	9	300	1000	8	390	390	390	390	390	390	0	42
306	3	10	344	10000	9	390	390	390	390	390	390	0	50
307	3	11	393	8000	10	390	390	390	390	390	390	0	58
308	3	12	447	7900	11	390	390	390	390	390	390	0	66
309	3	13	506	7800	12	390	390	390	390	390	390	0	74
310	3	14	570	7700	13	390	390	390	390	390	390	0	82
311	3	15	639	7600	14	390	390	390	390	390	390	0	90
312	3	16	713	7500	15	390	390	390	390	390	390	0	98
313	3	17	792	7400	16	390	390	390	390	390	390	0	106
314	3	18	876	7300	17	390	390	390	390	390	390	0	114
315	3	19	965	7200	18	390	390	390	390	390	390	0	122
316	3	20	1000	7000	19	390	390	390	390	390	390	0	130
317	3	21	1000	5500	20	390	390	390	390	390	390	0	140
318	3	22	1000	4000	21	390	390	390	390	390	390	0	150
319	3	23	1000	3000	22	390	390	390	390	390	390	0	160
320	3	24	1000	2200	23	390	390	390	390	390	390	0	170
321	3	25	1000	2000	24	390	390	390	390	390	390	0	180
322	3	26	1000	1700	25	390	390	390	390	390	390	0	190
323	3	27	1000	1500	26	390	390	390	390	390	390	0	200
324	3	28	1000	1400	27	390	390	390	390	390	390	0	210
325	3	29	1000	1300	28	390	390	390	390	390	390	0	220
326	3	30	1000	1200	29	390	390	390	390	390	390	0	230
327	3	31	1000	1000	30	390	390	390	390	390	390	0	242
328	3	32	1000	800	31	390	390	390	390	390	390	0	254
329	3	33	1000	700	32	390	390	390	390	390	390	0	266
330	3	34	1000	500	33	390	390	390	390	390	390	0	278
331	3	35	1000	420	34	390	390	390	390	390	390	0	290
332	3	36	1000	420	35	390	390	390	390	390	390	0	302
333	3	37	1000	420	36	390	390	390	390	390	390	0	314
334	3	38	1000	420	37	390	390	390	390	390	390	0	326
335	3	39	1000	420	38	390	390	390	390	390	390	0	338
336	3	40	1000	420	39	390	390	390	390	390	390	0	350
337	3	41	1000	420	40	390	390	390	390	390	390	0	365
338	3	42	1000	420	41	390	390	390	390	390	390	0	380
339	3	43	1000	420	42	390	390	390	390	390	390	0	395
340	3	44	1000	420	43	390	390	390	390	390	390	0	410
341	3	45	1000	420	44	390	390	390	390	390	390	0	425
342	3	46	1000	420	45	390	390	390	390	390	390	0	440
343	3	47	1000	420	46	390	390	390	390	390	390	0	455
344	3	48	1000	420	47	390	390	390	390	390	390	0	470
345	3	49	1000	420	48	390	390	390	390	390	390	0	485
346	3	50	1000	400	49	390	390	390	390	390	390	0	500
347	3	51	1000	400	50	390	390	390	390	390	390	0	518
348	3	52	1000	400	51	390	390	390	390	390	390	0	536
349	3	53	1000	400	52	390	390	390	390	390	390	0	554
350	3	54	1000	400	53	390	390	390	390	390	390	0	572
351	3	55	1000	400	54	390	390	390	390	390	390	0	590
352	3	56	1000	400	55	390	390	390	390	390	390	0	608
353	3	57	1000	400	56	390	390	390	390	390	390	0	626
354	3	58	1000	400	57	390	390	390	390	390	390	0	644
355	3	59	1000	400	58	390	390	390	390	390	390	0	662
356	3	60	1000	400	59	390	390	390	390	390	390	0	680
357	3	61	1000	350	60	390	390	390	390	390	390	0	700
358	3	62	1000	350	61	390	390	390	390	390	390	0	720
359	3	63	1000	350	62	390	390	390	390	390	390	0	740
360	3	64	1000	350	63	390	390	390	390	390	390	0	760
361	3	65	1000	350	64	390	390	390	390	390	390	0	780
362	3	66	1000	350	65	390	390	390	390	390	390	0	800
363	3	67	1000	350	66	390	390	390	390	390	390	0	820
364	3	68	1000	350	67	390	390	390	390	390	390	0	840
365	3	69	1000	350	68	390	390	390	390	390	390	0	860
366	3	70	1000	350	69	390	390	390	390	390	390	0	880
367	3	71	1000	250	70	390	390	390	390	390	390	0	902
368	3	72	1000	250	71	390	390	390	390	390	390	0	924
369	3	73	1000	250	72	390	390	390	390	390	390	0	946
370	3	74	1000	250	73	390	390	390	390	390	390	0	968
371	3	75	1000	250	74	390	390	390	390	390	390	0	990
372	3	76	1000	250	75	390	390	390	390	390	390	0	1012
373	3	77	1000	250	76	390	390	390	390	390	390	0	1034
374	3	78	1000	250	77	390	390	390	390	390	390	0	1056
375	3	79	1000	250	78	390	390	390	390	390	390	0	1078
376	3	80	1000	250	79	390	390	390	390	390	390	0	1100
377	3	81	1000	250	80	390	390	390	390	390	390	0	1125
378	3	82	1000	200	81	390	390	390	390	390	390	0	1150
379	3	83	1000	200	82	390	390	390	390	390	390	0	1175
380	3	84	1000	200	83	390	390	390	390	390	390	0	1200
381	3	85	1000	200	84	390	390	390	390	390	390	0	1225
382	3	86	1000	200	85	390	390	390	390	390	390	0	1250
383	3	87	1000	200	86	390	390	390	390	390	390	0	1275
384	3	88	1000	200	87	390	390	390	390	390	390	0	1300
385	3	89	1000	200	88	390	390	390	390	390	390	0	1325
386	3	90	1000	100	89	390	390	390	390	390	390	0	1350
387	3	91	1000	100	90	390	390	390	390	390	390	0	1380
388	3	92	1000	100	91	390	390	390	390	390	390	0	1410
389	3	93	1000	100	92	390	390	390	390	390	390	0	1440
390	3	94	1000	100	93	390	390	390	390	390	390	0	1470
391	3	95	1000	100	94	390	390	390	390	390	390	0	1500
392	3	96	1000	100	95	390	390	390	390	390	390	0	1530
393	3	97	1000	100	96	390	390	390	390	390	390	0	1560
394	3	98	1000	100	97	390	390	390	390	390	390	0	1590
395	3	99	1000	100	98	390	390	390	390	390	390	0	1620
396	4	1	100	7500	0	20	20	20	20	20	20	0	2
397	4	2	115	6000	1	30	30	30	30	30	30	0	4
398	4	3	132	5000	2	42	42	42	42	42	42	0	6
399	4	4	151	4500	3	60	60	60	60	60	60	0	10
400	4	5	173	3500	4	88	88	88	88	88	88	0	14
401	4	6	199	3000	5	140	140	140	140	140	140	0	20
402	4	7	228	2000	6	186	186	186	186	186	186	0	26
403	4	8	261	1000	7	270	270	270	270	270	270	0	34
404	4	9	300	1000	8	390	390	390	390	390	390	0	42
405	4	10	344	10000	9	390	390	390	390	390	390	0	50
406	4	11	393	8000	10	390	390	390	390	390	390	0	58
407	4	12	447	7900	11	390	390	390	390	390	390	0	66
408	4	13	506	7800	12	390	390	390	390	390	390	0	74
409	4	14	570	7700	13	390	390	390	390	390	390	0	82
410	4	15	639	7600	14	390	390	390	390	390	390	0	90
411	4	16	713	7500	15	390	390	390	390	390	390	0	98
412	4	17	792	7400	16	390	390	390	390	390	390	0	106
413	4	18	876	7300	17	390	390	390	390	390	390	0	114
414	4	19	965	7200	18	390	390	390	390	390	390	0	122
415	4	20	1000	7000	19	390	390	390	390	390	390	0	130
416	4	21	1000	5500	20	390	390	390	390	390	390	0	140
417	4	22	1000	4000	21	390	390	390	390	390	390	0	150
418	4	23	1000	3000	22	390	390	390	390	390	390	0	160
419	4	24	1000	2200	23	390	390	390	390	390	390	0	170
420	4	25	1000	2000	24	390	390	390	390	390	390	0	180
421	4	26	1000	1700	25	390	390	390	390	390	390	0	190
422	4	27	1000	1500	26	390	390	390	390	390	390	0	200
423	4	28	1000	1400	27	390	390	390	390	390	390	0	210
424	4	29	1000	1300	28	390	390	390	390	390	390	0	220
425	4	30	1000	1200	29	390	390	390	390	390	390	0	230
426	4	31	1000	1000	30	390	390	390	390	390	390	0	242
427	4	32	1000	800	31	390	390	390	390	390	390	0	254
428	4	33	1000	700	32	390	390	390	390	390	390	0	266
429	4	34	1000	500	33	390	390	390	390	390	390	0	278
430	4	35	1000	420	34	390	390	390	390	390	390	0	290
431	4	36	1000	420	35	390	390	390	390	390	390	0	302
432	4	37	1000	420	36	390	390	390	390	390	390	0	314
433	4	38	1000	420	37	390	390	390	390	390	390	0	326
434	4	39	1000	420	38	390	390	390	390	390	390	0	338
435	4	40	1000	420	39	390	390	390	390	390	390	0	350
436	4	41	1000	420	40	390	390	390	390	390	390	0	365
437	4	42	1000	420	41	390	390	390	390	390	390	0	380
438	4	43	1000	420	42	390	390	390	390	390	390	0	395
439	4	44	1000	420	43	390	390	390	390	390	390	0	410
440	4	45	1000	420	44	390	390	390	390	390	390	0	425
441	4	46	1000	420	45	390	390	390	390	390	390	0	440
442	4	47	1000	420	46	390	390	390	390	390	390	0	455
443	4	48	1000	420	47	390	390	390	390	390	390	0	470
444	4	49	1000	420	48	390	390	390	390	390	390	0	485
445	4	50	1000	400	49	390	390	390	390	390	390	0	500
446	4	51	1000	400	50	390	390	390	390	390	390	0	518
447	4	52	1000	400	51	390	390	390	390	390	390	0	536
448	4	53	1000	400	52	390	390	390	390	390	390	0	554
449	4	54	1000	400	53	390	390	390	390	390	390	0	572
450	4	55	1000	400	54	390	390	390	390	390	390	0	590
451	4	56	1000	400	55	390	390	390	390	390	390	0	608
452	4	57	1000	400	56	390	390	390	390	390	390	0	626
453	4	58	1000	400	57	390	390	390	390	390	390	0	644
454	4	59	1000	400	58	390	390	390	390	390	390	0	662
455	4	60	1000	400	59	390	390	390	390	390	390	0	680
456	4	61	1000	350	60	390	390	390	390	390	390	0	700
457	4	62	1000	350	61	390	390	390	390	390	390	0	720
458	4	63	1000	350	62	390	390	390	390	390	390	0	740
459	4	64	1000	350	63	390	390	390	390	390	390	0	760
460	4	65	1000	350	64	390	390	390	390	390	390	0	780
461	4	66	1000	350	65	390	390	390	390	390	390	0	800
462	4	67	1000	350	66	390	390	390	390	390	390	0	820
463	4	68	1000	350	67	390	390	390	390	390	390	0	840
464	4	69	1000	350	68	390	390	390	390	390	390	0	860
465	4	70	1000	350	69	390	390	390	390	390	390	0	880
466	4	71	1000	250	70	390	390	390	390	390	390	0	902
467	4	72	1000	250	71	390	390	390	390	390	390	0	924
468	4	73	1000	250	72	390	390	390	390	390	390	0	946
469	4	74	1000	250	73	390	390	390	390	390	390	0	968
470	4	75	1000	250	74	390	390	390	390	390	390	0	990
471	4	76	1000	250	75	390	390	390	390	390	390	0	1012
