INT	STRING	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	FLOAT
17	°×êóÅ£	1	1006	0.6	461	273	540	attach1	273	540	attach1	-1	1	0
18	Ê¨×Ó	1	1019	0.6	561	270	537	attach1	270	537	attach1	-1	1	0
19	°×Ê¨	1	1020	0.6	562	274	541	attach1	274	541	attach1	-1	1	0
20		1	-1	0.6	20	980	979	attach1	980	979	attach1	-1	1	0
21	×ßµñ	1	1025	0.5	446	285	552	attach1	285	552	attach1	-1	1	0
22	×ß°×µñ	1	1026	0.5	445	284	551	attach1	284	551	attach1	-1	1	0
23	Ïó	2	1027	0.7	443	269	536	attach1	269	536	attach2	-1	1	0
24	°×Ïó	2	1028	0.7	444	269	536	attach1	269	536	attach2	-1	1	0
25	Ë«ÈËµñ	2	1021	1.3	-1	264	531	Æï³Ëµã01	264	531	Æï³Ëµã02	-1	-1	0
26	Æï³ËÂ½Îá	1	1029	0.6	440	288	555	attach1	288	555	attach1	-1	1	0
27	Æï³ËÄ¾Å£Á÷Âí	1	1030	0.6	439	267	534	attach1	267	534	attach1	-1	1	0
28	Æï³ËÍÒÄñ	1	1031	0.6	436	269	536	attach1	269	536	attach1	-1	1	0
29	Æï³ËÏ¬Å£	2	1032	0.7	442	269	536	attach1	269	536	attach2	-1	1	0
30	Æï³ËĞÜ	1	1033	0.6	438	267	534	attach1	267	534	attach1	-1	1	0
31	Æï³ËĞş¹ê	2	1034	0.5	441	272	539	attach1	272	539	attach2	-1	1	0
32	Æï³ËÖ©Öë	1	1035	0.6	437	288	555	attach1	288	555	attach1	-1	1	0
33	Æï³ËºÓÂí	2	1036	0.7	430	269	536	attach1	269	536	attach2	-1	1	0
34	Æï³ËÂí³µ	1	1037	0.7	431	292	559	attach1	292	559	attach1	-1	-1	0
35	Æï³ËÌìÂí	1	1038	0.7	432	267	534	attach1	267	534	attach1	-1	1	0
36	Æï³ËÍÃ×Ó	1	1039	0.7	433	272	539	attach1	272	539	attach1	-1	1	0
37	Æï³ËÎèÊ¨	1	1040	0.7	434	269	536	attach1	269	536	attach1	-1	1	0
38	Æï³ËÑ±Â¹	1	1041	0.7	435	267	534	attach1	267	534	attach1	-1	1	0
39	ÌìÊ¹³á°ò	1	1042	0.7	429	266	533	attach1	266	533	attach1	-1	-1	0
40	Æï³Ë¾ŞÈË	1	1043	0.7	427	272	539	attach1	272	539	attach1	-1	1	0
41	Æï³Ë´óÂÌÁú	2	1044	0.7	428	269	536	attach2	269	536	attach1	-1	-1	0
42	Æï³Ë÷çÂ¹Ñ©ÇÁ	2	1045	0.7	425	292	559	attach1	292	559	attach2	-1	-1	0
43	ÅËÉñÆï³Ë	2	1046	0.7	426	269	536	attach1	269	536	attach2	-1	1	0
44	ÌìÊ¹³á°ò	1	1061	0.7	424	266	533	attach1	266	533	attach1	-1	-1	0
45	Æï³Ë´º½Ú°×ĞÜ	1	2051	0.6	438	267	534	attach1	267	534	attach1	-1	1	0
46	Æï³Ë±ÌË®½ğ¾¦ÊŞ	1	2172	0.7	532	269	536	attach1	269	536	attach1	-1	1	0
47	Æï³ËĞı×ªÄ¾Âí	2	2244	0.7	1079	269	536	attach1	269	536	attach2	-1	-1	0
48	Æï³Ë´º½ÚÄêÊŞ	1	2253	0.7	1077	269	536	attach1	269	536	attach1	-1	1	0
49	Æï³ËÇéÈË½Ú»¨³µ1	2	2254	0.6	1078	272	539	attach1	272	539	attach2	-1	-1	0
50	Æï³Ë°×±ª	1	2293	0.7	1080	269	536	attach1	269	536	attach1	-1	1	0
51	Æï³ËºÚ±ª	1	2294	0.7	1081	269	536	attach1	269	536	attach1	-1	1	0
52	Æï³Ë¾ŞÔ³	1	5023	0.7	1083	272	539	attach1	272	539	attach1	-1	1	0
53	Æï³ËğÍÓ°µñ	1	2365	0.5	1089	269	536	attach1	278	545	attach1	-1	-1	0
54	Æï³ËÁğÁ§·ï	1	2366	0.5	1084	269	536	attach1	281	548	attach1	-1	-1	0
55	Æï³ËÈğÁ«º×	1	2367	0.9	1090	272	539	attach1	287	554	attach1	-1	-1	0
56	Æï³ËÈçÒâ»¢	1	2368	0.5	1087	269	536	attach1	276	543	attach1	-1	1	0
57	Æï³ËÒøÔÂÀÇ	1	2369	0.5	1085	269	536	attach1	275	542	attach1	-1	1	0
58	Æï³ËÆß²ÊÂ¹	1	2370	0.6	1091	269	536	attach1	280	547	attach1	-1	1	0
59	Æï³ËÁúÑªÂí	1	2371	0.6	1088	269	536	attach1	290	557	attach1	-1	1	0
60	Æï³ËÇàêóÅ£	1	2372	0.6	1092	269	536	attach1	273	540	attach1	-1	1	0
61	Æï³ËÁÒÑæÊ¨	1	2373	0.6	1086	269	536	attach1	274	541	attach1	-1	1	0
62	¿§·È³á°ò	1	2376	0.7	541	266	533	attach1	266	533	attach1	-1	-1	0
63	Æï³ËËÉÊó	1	2399	0.6	1093	267	534	attach1	267	534	attach1	-1	1	0
64	Æï³Ëºûµû³á°ò	1	2419	0.7	1094	266	533	attach1	266	533	attach1	-1	-1	0
65	Æï³Ë°ÍÌì»¢	1	2492	0.7	1095	269	536	attach1	269	536	attach1	-1	1	0
66	Æï³ËÁçÑò	1	2508	0.6	1097	267	534	attach1	267	534	attach1	-1	1	0
67	Æï³ËÑ©ÁçÑò	1	2509	0.6	1098	267	534	attach1	267	534	attach1	-1	1	0
68	Æï³ËÓÄ¹âÁç	1	2510	0.6	1099	269	536	attach1	273	540	attach1	-1	1	0
69	Æï³Ë·ÉÁúÒÎ	2	2512	0.6	1096	272	539	attach1	272	539	attach2	-1	-1	0
70	Æï³Ë»ğÑæõõ	1	2551	0.6	1123	267	534	attach1	267	534	attach1	-1	1	0
71	Æï³ËĞÜÃ¨	1	2552	0.7	1124	269	536	attach1	269	536	attach1	-1	1	0
72	Æï³Ë¿Ö¾åÄ§Õø	1	2553	0.7	1125	269	536	attach1	269	536	attach1	-1	1	0
73	Í¼Â³¿Ë	2	2554	0.7	1126	269	536	attach1	269	536	attach2	-1	-1	0
74	°µÓ°Í¼Â³¿Ë	2	2555	0.7	1127	269	536	attach1	269	536	attach2	-1	-1	0
75	×ÏÓ°Í¼Â³¿Ë	2	2556	0.7	1128	269	536	attach1	269	536	attach2	-1	-1	0
76	Çà÷ë°×Ôó	1	5070	0.7	-1	269	536	attach1	269	536	attach2	-1	1	0
77	³à÷ë°×Ôó	1	5071	0.7	-1	269	536	attach1	269	536	attach2	-1	1	0
78	º©±¦ĞÜ	1	5069	0.7	-1	269	536	attach1	269	536	attach2	-1	1	0
79	ºÚÌìÂí	1	5073	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
80	ÔÆÏöÓğÒí	1	5086	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
81	ÃÎÁéÏÉ¾Ô	1	4332	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
82	½­ÄÏËø¼×Âí	1	2727	0.6	-1	269	536	attach1	269	536	attach1	-1	1	0
83	´óÄ®½ğ¸êÂí	1	2728	0.6	-1	269	536	attach1	269	536	attach1	-1	1	0
84	¾øµØ	1	6993	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
85	±øÂíÙ¸Âí	1	7033	0.7	-1	980	979	attach1	980	979	attach1	-1	1	0
86	ÇØÊ¼»ÊÂí³µ	1	7043	0.7	-1	272	539	attach1	272	539	attach1	-1	-1	0
87	ÆßÏ¦´¬	2	7060	0.7	-1	995	994	attach2	272	539	attach1	-1	-1	0
88	ºìĞÜ	1	7113	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
89	ĞÇ¿ÕÌìÂí	1	7142	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
90	·É±ª	1	7158	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
91	´¹ÔÆÒí	1	7159	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
92	Ê¥µ®Ñ±Â¹	1	7170	0.7	-1	269	536	attach1	269	536	attach2	-1	1	0
93	Çå¿ÍÒ¡	1	7207	0.7	-1	272	539	attach1	272	539	attach1	-1	1	0
94	²»ËÀÄñ	1	7212	0.9	-1	1034	1035	attach1	1034	1035	attach1	-1	-1	0
95	ôáÔÂÒÎ	1	7311	0.7	431	292	559	attach1	292	559	attach1	-1	-1	0
96	ÑãÃÅ·ç»ª	1	7465	0.7	-1	1106	1105	attach1	1106	1105	attach1	-1	-1	0
97	Òøºº¸¡Áº	2	7481	0.7	-1	1117	1118	attach1	1117	1118	attach2	-1	-1	0
98	ÌæÄ£Æï³Ë	2	7488	0.7	-1	269	536	attach1	269	536	attach1	-1	-1	0
99	ğÀ	1	7604	0.9	-1	1034	1035	attach1	294	561	attach1	-1	-1	0
100	°×ğÀ	1	7605	0.9	-1	1034	1035	attach1	287	554	attach1	-1	-1	0
101	ÁğÁ§ğÀ	1	7606	0.9	-1	1034	1035	attach1	287	554	attach1	-1	-1	0
102	¼Ä¾ÓĞ·	2	7646	0.7	-1	272	539	attach1	272	539	attach2	-1	1	0
103	À¥ÂØÑ©Ô³	1	7647	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
104	ÁÒÑæ×··ç	1	7670	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
105	¾øÔÆìÍÁú	2	7672	0.7	1196	269	536	attach1	269	536	attach2	-1	-1	0
106	¾øÔÆìÍÁú¸½¼ş	2	7672	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
107	ÇàÒíÕ½Áú	2	7673	0.7	1195	269	536	attach1	269	536	attach2	-1	-1	0
108	ÇàÒíÕ½Áú¸½¼ş	2	7673	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
109	°ÔÊÀÓğÁú	2	7671	0.7	1194	269	536	attach1	269	536	attach2	-1	-1	0
110	°ÔÊÀÓğÁú¸½¼ş	2	7671	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
111	Ê¥µ®Ñ¥×Ó	1	7674	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
112	°¬»¢	1	7691	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
113	ÅÜÉÌ³µ	1	7699	0.7	-1	292	559	attach1	292	559	attach1	-1	-1	0
114	ÇéÈË½Ú³á°ò	1	7719	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
115	°×»¢³á°ò	1	7725	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
116	Óñµû³Ëç¯	1	7817	0.7	431	292	559	attach1	292	559	attach1	-1	-1	0
117	Á÷ËªÁé¾Ô	1	7915	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
118	Äµµ¤³µ	1	7913	0.7	1127	272	539	attach1	272	539	attach1	-1	-1	0
119	·ïÇó»Ë·ï	1	8489	0.5	1215	1232	1233	attach1	1232	1233	attach1	-1	-1	0
120	·ïÇó»Ë»Ë	1	8490	0.5	1215	1232	1233	attach1	1232	1233	attach1	-1	-1	0
121	³àÓ°	1	8514	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
122	µûÓğ·Û	1	8515	0.7	-1	266	533	attach1	266	533	attach1	-1	1	0
123	ÖÜÄêÇìÂí	1	8601	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
124	ÓÄÒ¹	2	7160	0.7	-1	269	536	attach2	269	536	attach1	-1	-1	0
125	Ê¥µ®Ñ±Â¹	1	8663	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
126	ÇéÈË½ÚºÚºì³á°ò	1	8682	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
127	ÇéÈË½Úºì°×³á°ò	1	8683	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
128	º£Ñó³µ	1	8850	0.7	-1	272	539	attach1	272	539	attach1	-1	-1	0
129	·É»ËÓğÒí	1	8880	0.7	-1	266	533	attach1	266	533	attach1	-1	-1	0
130	ºÚ½ğîø¼×»¢	1	8892	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
131	²ÔÉ½º®ÃÎ	1	8932	0.7	-1	1331	1332	attach1	1331	1332	attach1	-1	-1	0
132	ÂæÍÕ	1	8933	0.6	-1	267	534	attach1	267	534	attach1	-1	1	0
133	Æß²ÊÏéÔÆ	1	9047	0.7	-1	1357	1357	attach1	1357	1357	attach1	-1	-1	4
134	½î¶·ÔÆ	1	9054	0.7	-1	1357	1357	attach1	1357	1357	attach1	-1	-1	4
172	ÌìºÓÁéÈµ	1	3363	0.5	1215	272	539	attach1	281	548	attach1	-1	-1	0
173	ÑòÍÕ	1	7908	0.7	1127	267	534	attach1	267	534	attach1	-1	1	0
174	»Æ½ğÂíºì	1	8895	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
175	»Æ½ğÂí½ğ	1	8896	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
176	»Æ½ğÂíÀ¶	1	8897	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
177	»Æ½ğÂí×Ï	1	8898	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
178	ºÚ°×Âí	1	8907	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
179	²ÉÁé»ú¹ØÄñ	6	8920	0.7	-1	1428	1428	attach1	1428	1428	attach1	-1	1	0
180	ÓñÍÅÍÅ	1	9058	0.7	-1	272	539	attach1	272	539	attach1	-1	1	0
181	±±Ú¤ĞşÁú	2	2778	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
182	±±Ú¤ĞşÁú¸½¼ş	2	2778	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
183	Ç§·åÓ¦Áú	2	2779	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
184	Ç§·åÓ¦Áú¸½¼ş	2	2779	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
185	·öÒ¡²ÔÁú	2	2780	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
186	·öÒ¡²ÔÁú¸½¼ş	2	2780	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
187	â¦áû³õ¼¶	1	4771	0.5	-1	267	534	attach1	267	534	attach1	-1	1	0
188	â¦áûÖĞ¼¶	1	4772	0.5	-1	267	534	attach1	267	534	attach1	-1	1	0
189	â¦áû¸ß¼¶	1	4773	0.5	-1	267	534	attach1	267	534	attach1	-1	1	0
190	Ä«Óñ÷è÷ë	1	9158	0.7	-1	267	534	attach1	267	534	attach1	-1	1	0
191	°¢À­Ë¹»ù	1	2819	0.7	-1	269	536	attach1	269	536	attach1	-1	1	0
192	Ğ¥ÔÂÌìÀÇ	1	2835	0.7	-1	1456	1456	attach1	1456	1456	attach1	-1	1	0
193	Ë·Ó°ÌìÀÇ	1	2836	0.7	-1	1456	1456	attach1	1456	1456	attach1	-1	1	0
194	ÒÁÀöÉ¯°×Ã¨	1	9438	0.7	-1	1485	1484	attach1	1485	1484	attach1	-1	1	0
195	ĞÇÔÆÁú	1	9514	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
196	ĞÇÔÆÁú02	1	9515	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
197	ĞÇÔÆÁú03	1	9516	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
198	ĞÇÔÆÁú05	1	9517	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
199	¾£¼¬Áú	1	9513	0.7	-1	267	534	attach1	267	534	attach1	-1	-1	0
200	Ê¢ÏÄºÃÃÎ	1	9599	0.7	431	292	559	attach1	292	559	attach1	-1	-1	0
201	Áúæø	1	2920	0.7	-1	980	979	attach1	980	979	attach1	-1	1	0
203	ºÚ½ğ·É½£	1	2933	0.7	-1	1561	1561	attach1	1561	1561	attach1	-1	-1	4
204	ºÚ½ğ·É½£01	1	2934	0.7	-1	1561	1561	attach1	1561	1561	attach1	-1	-1	4
205	¹éĞæÉñÁú	2	2936	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
206	¹éĞæÉñÁú¸½¼ş	2	2936	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
207	ÓñÏöÔÆÁú	2	2937	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
208	ÓñÏöÔÆÁú¸½¼ş	2	2937	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
209	»æÓ°Ä«Áú	2	2938	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
210	»æÓ°Ä«Áú¸½¼ş	2	2938	0.7	-1	269	536	attach1	269	536	attach2	-1	-1	0
211	¾«ÎÀÄñ	1	9753	0.9	-1	267	534	attach1	267	534	attach1	-1	-1	3
