INT	INT	INT	STRING	INT	STRING
51	102	10302413	大商尘影	10302104	大商尘影
52	102	10302414	大商尘影	10302105	大商尘影
53	102	10302415	大商尘影	10302106	大商尘影
54	102	10302416	大商尘影	10302107	大商尘影
55	102	10302417	大商尘影	10302108	大商尘影
56	102	10302418	大商尘影	10302109	大商尘影
57	102	10302419	大商尘影	10302110	大商尘影
58	102	10302420	大商尘影	10302111	大商尘影
59	102	10302421	大燕韵章	10302203	大燕韵章
60	102	10302422	大燕韵章	10302204	大燕韵章
61	102	10302423	大燕韵章	10302205	大燕韵章
62	102	10302424	大燕韵章	10302206	大燕韵章
63	102	10302425	大燕韵章	10302207	大燕韵章
64	102	10302426	大燕韵章	10302208	大燕韵章
65	102	10302427	大燕韵章	10302209	大燕韵章
66	102	10302428	大燕韵章	10302210	大燕韵章
67	102	10302429	大燕韵章	10302211	大燕韵章
68	102	10303404	大周岚夜	10303103	大周岚夜
69	102	10303405	大周岚夜	10303104	大周岚夜
70	102	10303406	大周岚夜	10303105	大周岚夜
71	102	10303407	大周岚夜	10303106	大周岚夜
72	102	10303408	大周岚夜	10303107	大周岚夜
73	102	10303409	大周岚夜	10303108	大周岚夜
74	102	10303410	大周岚夜	10303109	大周岚夜
75	102	10303411	大周岚夜	10303110	大周岚夜
76	102	10303412	大周岚夜	10303111	大周岚夜
77	102	10303413	大晋星痕	10303203	大晋星痕
78	102	10303414	大晋星痕	10303204	大晋星痕
79	102	10303415	大晋星痕	10303205	大晋星痕
80	102	10303416	大晋星痕	10303206	大晋星痕
81	102	10303417	大晋星痕	10303207	大晋星痕
82	102	10303418	大晋星痕	10303208	大晋星痕
83	102	10303419	大晋星痕	10303209	大晋星痕
84	102	10303420	大晋星痕	10303210	大晋星痕
85	102	10303421	大晋星痕	10303211	大晋星痕
86	102	10304408	大宋君岑	10304103	大宋君岑
87	102	10304409	大宋君岑	10304104	大宋君岑
88	102	10304410	大宋君岑	10304105	大宋君岑
89	102	10304411	大宋君岑	10304106	大宋君岑
90	102	10304412	大宋君岑	10304107	大宋君岑
91	102	10304413	大宋君岑	10304108	大宋君岑
92	102	10304414	大宋君岑	10304109	大宋君岑
93	102	10304415	大宋君岑	10304110	大宋君岑
94	102	10304416	大宋君岑	10304111	大宋君岑
95	102	10305408	大汉弘纲	10305103	大汉弘纲
96	102	10305409	大汉弘纲	10305104	大汉弘纲
97	102	10305410	大汉弘纲	10305105	大汉弘纲
98	102	10305411	大汉弘纲	10305106	大汉弘纲
99	102	10305412	大汉弘纲	10305107	大汉弘纲
100	102	10305413	大汉弘纲	10305108	大汉弘纲
101	102	10305414	大汉弘纲	10305109	大汉弘纲
102	102	10305415	大汉弘纲	10305110	大汉弘纲
103	102	10305416	大汉弘纲	10305111	大汉弘纲
104	102	10305417	大隋凝霜	10305203	大隋凝霜
105	102	10305418	大隋凝霜	10305204	大隋凝霜
106	102	10305419	大隋凝霜	10305205	大隋凝霜
107	102	10305420	大隋凝霜	10305206	大隋凝霜
108	102	10305421	大隋凝霜	10305207	大隋凝霜
109	102	10305422	大隋凝霜	10305208	大隋凝霜
110	102	10305423	大隋凝霜	10305209	大隋凝霜
111	102	10305424	大隋凝霜	10305210	大隋凝霜
112	102	10305425	大隋凝霜	10305211	大隋凝霜
113	86	10300401	炽焰九龙刀	10300006	赤焰九纹刀
114	86	10301402	忘忧销魂枪	10301000	斩忧断愁枪
115	86	10301403	法天辟邪杖	10301198	弈天破邪杖
116	86	10302403	天光流影剑	10302006	含光弄影剑
117	86	10302404	九转龙泉剑	10302008	万仞龙渊剑
118	86	10302405	星移月动剑	10302010	星移无痕剑
119	86	10303401	灭魂轮回钩	10303000	转魂灭魄钩
120	86	10304402	天雷真火扇	10304006	雷鸣离火扇
121	86	10304403	天雷真火扇	10304008	雷鸣离火扇
122	86	10305402	绝情裂影环	10305006	碎情雾影环
123	86	10305403	星云聚日环	10305008	天星耀阳环
124	96	10300403	炽焰九龙刀	10300007	赤焰九纹刀
125	96	10301406	忘忧销魂枪	10301001	斩忧断愁枪
126	96	10301407	法天辟邪杖	10301199	弈天破邪杖
127	96	10302409	天光流影剑	10302007	含光弄影剑
128	96	10302410	九转龙泉剑	10302009	万仞龙渊剑
129	96	10302411	星移月动剑	10302011	星移无痕剑
130	96	10303403	灭魂轮回钩	10303001	转魂灭魄钩
131	96	10304406	天雷真火扇	10304007	雷鸣离火扇
132	96	10304407	天雷真火扇	10304009	雷鸣离火扇
133	96	10305406	绝情裂影环	10305007	碎情雾影环
134	96	10305407	星云聚日环	10305009	天星耀阳环
135	102	10300413	九霄焱阳	10300103	大夏龙雀
136	102	10300414	九霄焱阳	10300104	大夏龙雀
137	102	10300415	九霄焱阳	10300105	大夏龙雀
138	102	10300416	九霄焱阳	10300106	大夏龙雀
139	102	10300417	九霄焱阳	10300107	大夏龙雀
140	102	10300418	九霄焱阳	10300108	大夏龙雀
141	102	10300419	九霄焱阳	10300109	大夏龙雀
142	102	10300420	九霄焱阳	10300110	大夏龙雀
143	102	10300421	九霄焱阳	10300111	大夏龙雀
144	102	10301426	洪荒龙舞	10301103	大秦锋镝
145	102	10301427	洪荒龙舞	10301104	大秦锋镝
146	102	10301428	洪荒龙舞	10301105	大秦锋镝
147	102	10301429	洪荒龙舞	10301106	大秦锋镝
148	102	10301430	洪荒龙舞	10301107	大秦锋镝
149	102	10301431	洪荒龙舞	10301108	大秦锋镝
150	102	10301432	洪荒龙舞	10301109	大秦锋镝
151	102	10301433	洪荒龙舞	10301110	大秦锋镝
152	102	10301434	洪荒龙舞	10301111	大秦锋镝
153	102	10301435	达摩一叹	10301203	大唐昆岳
154	102	10301436	达摩一叹	10301204	大唐昆岳
155	102	10301437	达摩一叹	10301205	大唐昆岳
156	102	10301438	达摩一叹	10301206	大唐昆岳
157	102	10301439	达摩一叹	10301207	大唐昆岳
158	102	10301440	达摩一叹	10301208	大唐昆岳
159	102	10301441	达摩一叹	10301209	大唐昆岳
160	102	10301442	达摩一叹	10301210	大唐昆岳
161	102	10301443	达摩一叹	10301211	大唐昆岳
162	102	10302430	大衍天玄	10302103	大商尘影
163	102	10302431	大衍天玄	10302104	大商尘影
164	102	10302432	大衍天玄	10302105	大商尘影
165	102	10302433	大衍天玄	10302106	大商尘影
166	102	10302434	大衍天玄	10302107	大商尘影
167	102	10302435	大衍天玄	10302108	大商尘影
168	102	10302436	大衍天玄	10302109	大商尘影
169	102	10302437	大衍天玄	10302110	大商尘影
170	102	10302438	大衍天玄	10302111	大商尘影
171	102	10302439	末世王权	10302203	大燕韵章
172	102	10302440	末世王权	10302204	大燕韵章
173	102	10302441	末世王权	10302205	大燕韵章
174	102	10302442	末世王权	10302206	大燕韵章
175	102	10302443	末世王权	10302207	大燕韵章
176	102	10302444	末世王权	10302208	大燕韵章
177	102	10302445	末世王权	10302209	大燕韵章
178	102	10302446	末世王权	10302210	大燕韵章
179	102	10302447	末世王权	10302211	大燕韵章
180	102	10303422	倚天长生	10303103	大周岚夜
181	102	10303423	倚天长生	10303104	大周岚夜
182	102	10303424	倚天长生	10303105	大周岚夜
183	102	10303425	倚天长生	10303106	大周岚夜
184	102	10303426	倚天长生	10303107	大周岚夜
185	102	10303427	倚天长生	10303108	大周岚夜
186	102	10303428	倚天长生	10303109	大周岚夜
187	102	10303429	倚天长生	10303110	大周岚夜
188	102	10303430	倚天长生	10303111	大周岚夜
189	102	10303431	六道黄泉	10303203	大晋星痕
190	102	10303432	六道黄泉	10303204	大晋星痕
191	102	10303433	六道黄泉	10303205	大晋星痕
192	102	10303434	六道黄泉	10303206	大晋星痕
193	102	10303435	六道黄泉	10303207	大晋星痕
194	102	10303436	六道黄泉	10303208	大晋星痕
195	102	10303437	六道黄泉	10303209	大晋星痕
196	102	10303438	六道黄泉	10303210	大晋星痕
197	102	10303439	六道黄泉	10303211	大晋星痕
198	102	10304417	太古飘翎	10304103	大宋君岑
199	102	10304418	太古飘翎	10304104	大宋君岑
200	102	10304419	太古飘翎	10304105	大宋君岑
201	102	10304420	太古飘翎	10304106	大宋君岑
202	102	10304421	太古飘翎	10304107	大宋君岑
203	102	10304422	太古飘翎	10304108	大宋君岑
204	102	10304423	太古飘翎	10304109	大宋君岑
205	102	10304424	太古飘翎	10304110	大宋君岑
206	102	10304425	太古飘翎	10304111	大宋君岑
207	102	10305426	万世枯荣	10305103	大汉弘纲
208	102	10305427	万世枯荣	10305104	大汉弘纲
209	102	10305428	万世枯荣	10305105	大汉弘纲
210	102	10305429	万世枯荣	10305106	大汉弘纲
211	102	10305430	万世枯荣	10305107	大汉弘纲
212	102	10305431	万世枯荣	10305108	大汉弘纲
213	102	10305432	万世枯荣	10305109	大汉弘纲
214	102	10305433	万世枯荣	10305110	大汉弘纲
215	102	10305434	万世枯荣	10305111	大汉弘纲
216	102	10305435	无相绝踪	10305203	大隋凝霜
217	102	10305436	无相绝踪	10305204	大隋凝霜
218	102	10305437	无相绝踪	10305205	大隋凝霜
219	102	10305438	无相绝踪	10305206	大隋凝霜
220	102	10305439	无相绝踪	10305207	大隋凝霜
221	102	10305440	无相绝踪	10305208	大隋凝霜
222	102	10305441	无相绝踪	10305209	大隋凝霜
223	102	10305442	无相绝踪	10305210	大隋凝霜
224	102	10305443	无相绝踪	10305211	大隋凝霜
225	86	10306008	凌霄玉琼弩	10306006	凌霄玉琼弩
226	96	10306009	凌霄玉琼弩	10306007	凌霄玉琼弩
227	86	10306010	九霄华琼弩	10306006	凌霄玉琼弩
228	96	10306011	九霄华琼弩	10306007	凌霄玉琼弩
229	102	10306024	大梁辟天	10306015	大梁辟天
230	102	10306025	大梁辟天	10306016	大梁辟天
231	102	10306026	大梁辟天	10306017	大梁辟天
232	102	10306027	大梁辟天	10306018	大梁辟天
233	102	10306028	大梁辟天	10306019	大梁辟天
234	102	10306029	大梁辟天	10306020	大梁辟天
235	102	10306030	大梁辟天	10306021	大梁辟天
236	102	10306031	大梁辟天	10306022	大梁辟天
237	102	10306032	大梁辟天	10306023	大梁辟天
238	102	10306033	灭影天诛	10306015	大梁辟天
239	102	10306034	灭影天诛	10306016	大梁辟天
240	102	10306035	灭影天诛	10306017	大梁辟天
241	102	10306036	灭影天诛	10306018	大梁辟天
242	102	10306037	灭影天诛	10306019	大梁辟天
243	102	10306038	灭影天诛	10306020	大梁辟天
244	102	10306039	灭影天诛	10306021	大梁辟天
245	102	10306040	灭影天诛	10306022	大梁辟天
246	102	10306041	灭影天诛	10306023	大梁辟天
247	86	10307008	太虚归星杖	10307006	太虚归星杖
248	96	10307009	太虚归星杖	10307007	太虚归星杖
249	86	10307010	太虚敛月杖	10307006	太虚归星杖
250	96	10307011	太虚敛月杖	10307007	太虚归星杖
251	102	10307024	大魏长歌	10307015	大魏长歌
252	102	10307025	大魏长歌	10307016	大魏长歌
253	102	10307026	大魏长歌	10307017	大魏长歌
254	102	10307027	大魏长歌	10307018	大魏长歌
255	102	10307028	大魏长歌	10307019	大魏长歌
256	102	10307029	大魏长歌	10307020	大魏长歌
257	102	10307030	大魏长歌	10307021	大魏长歌
258	102	10307031	大魏长歌	10307022	大魏长歌
259	102	10307032	大魏长歌	10307023	大魏长歌
260	102	10307033	玉法玄穹	10307015	大魏长歌
261	102	10307034	玉法玄穹	10307016	大魏长歌
262	102	10307035	玉法玄穹	10307017	大魏长歌
263	102	10307036	玉法玄穹	10307018	大魏长歌
264	102	10307037	玉法玄穹	10307019	大魏长歌
265	102	10307038	玉法玄穹	10307020	大魏长歌
266	102	10307039	玉法玄穹	10307021	大魏长歌
267	102	10307040	玉法玄穹	10307022	大魏长歌
268	102	10307041	玉法玄穹	10307023	大魏长歌
269	86	10308008	天地乐同箫	10308006	天地乐同箫
270	96	10308009	天地乐同箫	10308007	天地乐同箫
271	86	10308010	天地礼同箫	10308006	天地乐同箫
272	96	10308011	天地礼同箫	10308007	天地乐同箫
273	102	10308024	大越正音	10308015	大越正音
274	102	10308025	大越正音	10308016	大越正音
275	102	10308026	大越正音	10308017	大越正音
276	102	10308027	大越正音	10308018	大越正音
277	102	10308028	大越正音	10308019	大越正音
278	102	10308029	大越正音	10308020	大越正音
279	102	10308030	大越正音	10308021	大越正音
280	102	10308031	大越正音	10308022	大越正音
281	102	10308032	大越正音	10308023	大越正音
282	102	10308033	春秋繁露	10308015	大越正音
283	102	10308034	春秋繁露	10308016	大越正音
284	102	10308035	春秋繁露	10308017	大越正音
285	102	10308036	春秋繁露	10308018	大越正音
286	102	10308037	春秋繁露	10308019	大越正音
287	102	10308038	春秋繁露	10308020	大越正音
288	102	10308039	春秋繁露	10308021	大越正音
289	102	10308040	春秋繁露	10308022	大越正音
290	102	10308041	春秋繁露	10308023	大越正音
291	86	10316008	淬火燎羽刃	10316006	淬火燎羽刃
292	96	10316009	淬火燎羽刃	10316007	淬火燎羽刃
293	86	10316010	淬火熔羽刃	10316006	淬火燎羽刃
294	96	10316011	淬火熔羽刃	10316007	淬火燎羽刃
295	102	10316024	百念朝周	10316015	百念朝周
296	102	10316025	百念朝周	10316016	百念朝周
297	102	10316026	百念朝周	10316017	百念朝周
298	102	10316027	百念朝周	10316018	百念朝周
299	102	10316028	百念朝周	10316019	百念朝周
300	102	10316029	百念朝周	10316020	百念朝周
301	102	10316030	百念朝周	10316021	百念朝周
302	102	10316031	百念朝周	10316022	百念朝周
303	102	10316032	百念朝周	10316023	百念朝周
304	102	10316033	乌啼焱翎	10316015	百念朝周
305	102	10316034	乌啼焱翎	10316016	百念朝周
306	102	10316035	乌啼焱翎	10316017	百念朝周
307	102	10316036	乌啼焱翎	10316018	百念朝周
308	102	10316037	乌啼焱翎	10316019	百念朝周
309	102	10316038	乌啼焱翎	10316020	百念朝周
310	102	10316039	乌啼焱翎	10316021	百念朝周
311	102	10316040	乌啼焱翎	10316022	百念朝周
312	102	10316041	乌啼焱翎	10316023	百念朝周
313	86	10317008	呼星泣鬼镰	10317006	呼星泣鬼镰
314	96	10317009	呼星泣鬼镰	10317007	呼星泣鬼镰
315	86	10317010	呼星召鬼镰	10317006	呼星泣鬼镰
316	96	10317011	呼星召鬼镰	10317007	呼星泣鬼镰
317	102	10317024	大齐鸣风	10317015	大齐鸣风
318	102	10317025	大齐鸣风	10317016	大齐鸣风
319	102	10317026	大齐鸣风	10317017	大齐鸣风
320	102	10317027	大齐鸣风	10317018	大齐鸣风
321	102	10317028	大齐鸣风	10317019	大齐鸣风
322	102	10317029	大齐鸣风	10317020	大齐鸣风
323	102	10317030	大齐鸣风	10317021	大齐鸣风
324	102	10317031	大齐鸣风	10317022	大齐鸣风
325	102	10317032	大齐鸣风	10317023	大齐鸣风
326	102	10317033	浮生观隙	10317015	大齐鸣风
327	102	10317034	浮生观隙	10317016	大齐鸣风
328	102	10317035	浮生观隙	10317017	大齐鸣风
329	102	10317036	浮生观隙	10317018	大齐鸣风
330	102	10317037	浮生观隙	10317019	大齐鸣风
331	102	10317038	浮生观隙	10317020	大齐鸣风
332	102	10317039	浮生观隙	10317021	大齐鸣风
333	102	10317040	浮生观隙	10317022	大齐鸣风
334	102	10317041	浮生观隙	10317023	大齐鸣风
