INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING
38103003	1	3	3	6	130	68	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G6%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38103004	1	3	4	8	230	198	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G8%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38103005	1	3	5	10	360	428	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G10%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38103006	1	3	6	12	525	788	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G12%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38103007	1	3	7	14	715	1313	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G14%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38103008	1	3	8	16	930	2028	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G16%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38103009	1	3	9	18	0	2958	ZhenYuan1_11	真元·厚体	装备原有#G体力#W效果提升#G18%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有体力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104001	1	4	1	2	10	3	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104002	1	4	2	4	55	13	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104003	1	4	3	6	130	68	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G6%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104004	1	4	4	8	230	198	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G8%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104005	1	4	5	10	360	428	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G10%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104006	1	4	6	12	525	788	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G12%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104007	1	4	7	14	715	1313	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G14%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104008	1	4	8	16	930	2028	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G16%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38104009	1	4	9	18	0	2958	ZhenYuan1_16	真元·气定	装备原有#G定力#W效果提升#G18%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有定力属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105001	1	5	1	2	10	3	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105002	1	5	2	4	55	13	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105003	1	5	3	6	130	68	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G6%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105004	1	5	4	8	230	198	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G8%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105005	1	5	5	10	360	428	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G10%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105006	1	5	6	12	525	788	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G12%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105007	1	5	7	14	715	1313	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G14%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105008	1	5	8	16	930	2028	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G16%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38105009	1	5	9	18	0	2958	ZhenYuan2_5	真元·迅捷	装备原有#G身法#W效果提升#G18%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有身法属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106001	1	6	1	2	10	3	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106002	1	6	2	4	55	13	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106003	1	6	3	6	130	68	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G6%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106004	1	6	4	8	230	198	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G8%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106005	1	6	5	10	360	428	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G10%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106006	1	6	6	12	525	788	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G12%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106007	1	6	7	14	715	1313	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G14%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106008	1	6	8	16	930	2028	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G16%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38106009	1	6	9	18	0	2958	ZhenYuan2_10	真元·血涌丹田	装备原有#G血上限#W效果提升#G18%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有血上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107001	1	7	1	2	10	3	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107002	1	7	2	4	55	13	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107003	1	7	3	6	130	68	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G6%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107004	1	7	4	8	230	198	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G8%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107005	1	7	5	10	360	428	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G10%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107006	1	7	6	12	525	788	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G12%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107007	1	7	7	14	715	1313	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G14%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107008	1	7	8	16	930	2028	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G16%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38107009	1	7	9	18	0	2958	ZhenYuan2_15	真元·气贯神庭	装备原有#G气上限#W效果提升#G18%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有气上限属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108001	1	8	1	2	10	3	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108002	1	8	2	4	55	13	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108003	1	8	3	6	130	68	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G6%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108004	1	8	4	8	230	198	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G8%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108005	1	8	5	10	360	428	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G10%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108006	1	8	6	12	525	788	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G12%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108007	1	8	7	14	715	1313	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G14%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108008	1	8	8	16	930	2028	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G16%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38108009	1	8	9	18	0	2958	ZhenYuan3_4	真元·内劲绵绵	装备原有#G内功攻击#W效果提升#G18%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有内功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38109001	1	9	1	2	10	3	ZhenYuan3_9	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G2%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
38109002	1	9	2	4	55	13	ZhenYuan3_9	真元·外功罡猛	装备原有#G外功攻击#W效果提升#G4%#W	张士心以上古神石为物，其灵为引，经十年苦制，方得此物。可在#G苏州（350，229）#W#R张士心#W处通过#G真元转换#W变为#G魂元#W。#r#G该真元在90级以上且7星以上有外功攻击属性的装备上能发挥更大效果#r#G（真元放入真元盘眼内方可生效）
